source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
single,1,1,2,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,8,2,0,0.8,0.2,0.0,8,0,diffusive,0.8,constraint_diffusion,"diffusive,constrained"
single,1,1,7,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",17,0,3,14,0.0,0.17647058823529413,0.8235294117647058,0,2,bound,0.8235294117647058,bound_constraint,"constrained,bound"
single,1,1,10,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",174,0,0,174,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,1,12,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,1,14,True,single_like_constrained,"dominant=constrained, fraction=1.000",10,0,10,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,16,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",16,13,3,0,0.8125,0.1875,0.0,7,0,diffusive,0.8125,constraint_diffusion,"diffusive,constrained"
single,1,1,21,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",12,11,1,0,0.9166666666666666,0.08333333333333333,0.0,8,0,diffusive,0.9166666666666666,constraint_diffusion,"diffusive,constrained"
single,1,1,22,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,1,24,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",30,0,0,30,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,1,26,True,single_like_constrained,"dominant=constrained, fraction=1.000",16,0,16,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,27,True,single_like_constrained,"dominant=constrained, fraction=1.000",13,0,13,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,33,True,single_like_constrained,"dominant=constrained, fraction=1.000",47,0,47,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,35,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",84,0,1,83,0.0,0.011904761904761904,0.9880952380952381,0,2,bound,0.9880952380952381,bound_constraint,"constrained,bound"
