,Mask #,Mask Name,# Cells,Cell,Area,Length
0,1,0117_nD_Snap1_HO_FC_H2B_cp_masks.png,4,1,9898,160.70469812671936
1,1,0117_nD_Snap1_HO_FC_H2B_cp_masks.png,4,2,19188,222.31958978011812
2,1,0117_nD_Snap1_HO_FC_H2B_cp_masks.png,4,3,20182,230.6013876801265
3,1,0117_nD_Snap1_HO_FC_H2B_cp_masks.png,4,4,17128,612.4050946881484
4,2,0117_nD_Snap2_HO_FC_H2B_cp_masks.png,3,1,16813,235.53555994796199
5,2,0117_nD_Snap2_HO_FC_H2B_cp_masks.png,3,2,16512,216.3007165961315
6,2,0117_nD_Snap2_HO_FC_H2B_cp_masks.png,3,3,14153,612.4050946881484
7,3,0117_nD_Snap3_HO_FC_H2B_cp_masks.png,3,1,16481,209.34421415458323
8,3,0117_nD_Snap3_HO_FC_H2B_cp_masks.png,3,2,16619,209.80467106334882
9,3,0117_nD_Snap3_HO_FC_H2B_cp_masks.png,3,3,13198,612.4050946881484
10,4,0117_nD_Snap4_HO_FC_H2B_cp_masks.png,2,1,19159,223.98660674245681
11,4,0117_nD_Snap4_HO_FC_H2B_cp_masks.png,2,2,17212,612.4050946881484
12,5,0117_nD_Snap5_HO_FC_H2B_cp_masks.png,4,1,10649,162.73291000900832
13,5,0117_nD_Snap5_HO_FC_H2B_cp_masks.png,4,2,12425,188.91532494744834
14,5,0117_nD_Snap5_HO_FC_H2B_cp_masks.png,4,3,15685,208.4346420343797
15,5,0117_nD_Snap5_HO_FC_H2B_cp_masks.png,4,4,9781,612.4050946881484
16,6,0117_nD_Snap6_HO_FC_H2B_cp_masks.png,3,1,17595,215.05813167606567
17,6,0117_nD_Snap6_HO_FC_H2B_cp_masks.png,3,2,16444,208.7414668914636
18,6,0117_nD_Snap6_HO_FC_H2B_cp_masks.png,3,3,12921,612.4050946881484
