Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
1,1,2,0,diffusion,single_stable_state,1,10,10,10,8,2,8,2,0,8,0,0,0.1
1,1,7,2,bound,single_stable_state,7,23,17,17,14,3,0,3,14,0,0,14,0.17
1,1,10,2,bound,single_stable_state,22,195,174,174,174,0,0,0,174,0,0,174,1.74
1,1,12,0,diffusion,single_stable_state,28,38,11,11,11,0,11,0,0,11,0,0,0.11
1,1,14,1,constrained_diffusion,single_stable_state,38,47,10,10,10,0,0,10,0,0,10,0,0.1
1,1,16,0,diffusion,single_stable_state,62,77,16,16,13,3,13,3,0,13,0,0,0.16
1,1,21,0,diffusion,single_stable_state,94,105,12,12,11,1,11,1,0,11,0,0,0.12
1,1,22,0,diffusion,single_stable_state,96,106,11,11,11,0,11,0,0,11,0,0,0.11
1,1,24,2,bound,single_stable_state,119,148,30,30,30,0,0,0,30,0,0,30,0.3
1,1,26,1,constrained_diffusion,single_stable_state,132,147,16,16,16,0,0,16,0,0,16,0,0.16
1,1,27,1,constrained_diffusion,single_stable_state,132,144,13,13,13,0,0,13,0,0,13,0,0.13
1,1,33,1,constrained_diffusion,single_stable_state,188,234,47,47,47,0,0,47,0,0,47,0,0.47000000000000003
1,1,35,2,bound,single_stable_state,194,277,84,84,83,1,0,1,83,0,0,83,0.84
1,1,36,0,diffusion,single_stable_state,194,216,23,23,22,1,22,1,0,22,0,0,0.23
1,1,43,2,bound,single_stable_state,253,275,23,23,23,0,0,0,23,0,0,23,0.23
1,1,46,2,bound,single_stable_state,266,284,19,19,19,0,0,0,19,0,0,19,0.19
1,1,49,1,constrained_diffusion,single_stable_state,289,307,19,19,19,0,0,19,0,0,19,0,0.19
1,1,51,1,constrained_diffusion,single_stable_state,311,324,14,14,14,0,0,14,0,0,14,0,0.14
1,1,53,2,bound,single_stable_state,337,346,10,10,8,2,0,2,8,0,0,8,0.1
1,1,57,2,bound,single_stable_state,354,384,31,31,28,3,0,3,28,0,0,28,0.31
