Video #,Video Name,Cell,Track,Event,Diffusion Coefficient,Alpha,Raw_Count,Valid_Count,Bound,Initial Frame,Last Frame
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,10_1,1,,,3,3,1,66,68
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,10_1,2,,,3,3,0,69,71
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,11_1,1,1.18604187892247,1.0,4,4,0,77,80
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,11_1,2,,,2,2,1,81,82
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,14_1,1,5.944390361601702,1.0,6,6,0,87,92
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,15_1,1,,,2,2,1,109,110
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,15_1,2,7.620555009145704,1.0,4,4,0,111,114
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,15_2,1,1452.4845880479886,1.0,6,6,0,115,120
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,16_1,1,0.22019799323920689,1.0,6,6,1,115,120
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,16_2,1,,,3,3,1,121,123
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,16_2,2,,,3,3,0,124,126
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,17_1,1,,,3,3,0,121,123
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,17_1,2,,,1,1,1,124,124
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,17_1,3,,,2,2,0,125,126
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,17_2,1,0.4877813526805714,1.0,4,4,0,127,130
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,17_2,2,,,1,1,1,131,131
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,17_2,3,,,1,1,0,132,132
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_1,1,0.9268296299887826,1.0,4,4,0,161,164
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_1,2,,,1,1,1,165,165
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_1,3,,,1,1,0,166,166
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_2,1,2.653526897946001,1.0,6,6,0,167,172
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_3,1,,,3,3,0,173,175
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_3,2,,,2,2,1,176,177
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_3,3,,,1,1,0,178,178
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_4,1,1.724524488121631,1.0,6,6,0,179,184
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_5,1,,,1,1,1,185,185
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_5,2,569.0369563295034,1.0,5,5,0,186,190
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_6,1,413.3731493825784,1.0,6,6,0,191,196
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_7,1,,,3,3,0,197,199
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_7,2,,,1,1,1,200,200
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_7,3,,,2,2,0,201,202
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,19_8,1,3.2913496739100774,1.0,6,6,0,203,208
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,1_1,1,0.12497731522622914,1.0,6,6,1,0,5
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,20_1,1,528.0593120079201,1.0,6,6,1,188,193
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,21_1,1,,,2,2,1,262,263
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,21_1,2,,,3,3,0,264,266
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,21_1,3,,,1,1,1,267,267
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,22_1,1,2.7490804587235207,1.0,6,6,0,299,304
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,22_2,1,0.4345628673772465,1.0,6,6,0,305,310
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,23_1,1,456.53661507270596,1.0,6,6,0,320,325
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,23_2,1,,,1,1,0,326,326
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,23_2,2,,,1,1,1,327,327
1,1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms,1,23_2,3,1323.07991827924,1.0,4,4,0,328,331
