source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
single,1,1,2,True,single_like_constrained,"dominant=constrained, fraction=1.000",14,0,14,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,14,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,1,15,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",14,12,2,0,0.8571428571428571,0.14285714285714285,0.0,12,0,diffusive,0.8571428571428571,constraint_diffusion,"diffusive,constrained"
single,1,1,17,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",14,12,2,0,0.8571428571428571,0.14285714285714285,0.0,6,0,diffusive,0.8571428571428571,constraint_diffusion,"diffusive,constrained"
single,1,1,19,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",52,47,5,0,0.9038461538461539,0.09615384615384616,0.0,14,0,diffusive,0.9038461538461539,constraint_diffusion,"diffusive,constrained"
single,1,1,20,True,single_like_constrained,"dominant=constrained, fraction=1.000",10,0,10,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,22,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,1,23,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",15,14,1,0,0.9333333333333333,0.06666666666666667,0.0,7,0,diffusive,0.9333333333333333,constraint_diffusion,"diffusive,constrained"
single,1,1,24,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,1,33,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",11,10,1,0,0.9090909090909091,0.09090909090909091,0.0,6,0,diffusive,0.9090909090909091,constraint_diffusion,"diffusive,constrained"
