,Mask #,Mask Name,# Cells,Cell,Area,Length
0,1,1125_nD_Snap1_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,1,11351,171.20747647226156
1,1,1125_nD_Snap1_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,2,13989,189.58902921846507
2,1,1125_nD_Snap1_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,3,5134,563.6488268416781
3,2,1125_nD_Snap2_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,1,15780,198.17164277464119
4,2,1125_nD_Snap2_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,2,16011,206.11889772653063
5,2,1125_nD_Snap2_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,3,17,10.0
6,2,1125_nD_Snap2_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,4,8851,563.6488268416781
7,3,1125_nD_Snap3_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,1,12358,180.54639292990598
8,3,1125_nD_Snap3_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,2,13179,189.58902921846507
9,3,1125_nD_Snap3_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,3,12640,563.6488268416781
10,4,1125_nD_Snap4_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,1,10002,165.89454481688057
11,4,1125_nD_Snap4_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,2,13472,563.6488268416781
12,5,1125_nD_Snap5_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,1,11871,178.39282496782207
13,5,1125_nD_Snap5_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,2,9520,563.6488268416781
14,6,1125_nD_Snap6_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,1,7284,159.0125781188394
15,6,1125_nD_Snap6_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,2,16314,209.3800372528384
16,6,1125_nD_Snap6_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,3,16718,563.6488268416781
17,7,1125_nD_Snap7_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,1,12595,193.43732835210477
18,7,1125_nD_Snap7_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,2,17505,216.33307652783935
19,7,1125_nD_Snap7_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,3,15437,199.48433522459854
20,7,1125_nD_Snap7_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,4,13949,563.6488268416781
21,8,1125_nD_Snap8_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,1,13119,188.80942773071476
22,8,1125_nD_Snap8_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,2,7181,144.90341610879986
23,8,1125_nD_Snap8_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,3,3,11260,563.6488268416781
24,9,1125_nD_Snap9_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,1,12145,189.65231345807516
25,9,1125_nD_Snap9_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,2,13080,563.6488268416781
26,10,1125_nD_Snap10_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,1,14197,194.02319448973105
27,10,1125_nD_Snap10_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,2,10950,168.2973558912914
28,10,1125_nD_Snap10_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,3,11265,176.13914953808538
29,10,1125_nD_Snap10_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,4,4,9707,563.6488268416781
30,11,1125_nD_Snap11_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,1,13265,180.05554698481245
31,11,1125_nD_Snap11_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,2,8031,564.1294177757441
32,12,1125_nD_Snap12_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,1,14360,227.9056822459677
33,12,1125_nD_Snap12_BF_FC_MCMC2_PCNA_CP_M2_cp_masks.png,2,2,18476,561.8398348283966
