,Video #,Cell,Track,From,To,Time,Speed,Distance,x1,y1,x2,y2
0,1,1,35,1,2,4,0.3372587477322653,1.872259652341311,168.00950925527553,144.45352109189477,168.17853643018034,145.6819508237324
1,1,1,35,1,1,5,0.46895751772882016,0.3786332142337749,168.17853643018034,145.68195082373236,167.7472246789769,145.74564600626528
2,1,2,18,1,1,4,67.60514442853545,0.664488346980469,262.41978844395317,47.60094630827114,239.0070641574409,42.99579796810098
3,1,2,101,1,2,6,0.5066448465008417,1.0746544747266087,367.42962517110163,92.12089640793256,366.5289617699185,92.35390393672972
4,1,2,101,1,2,8,0.7081029683226533,1.1691685990049827,366.5289617699185,92.35390393672971,366.2713596017064,93.26701240710737
5,2,1,11,1,1,21,0.8073571986585995,0.7713157803762979,207.76213846034045,64.03625653523908,206.4435095514454,64.28863239867356
6,2,1,11,1,2,5,1.2897894100049305,3.799435921228729,206.44350955144543,64.28863239867357,203.3254989637358,66.42649661502848
7,2,2,3,1,1,13,0.7834675947156065,0.3751676318028139,371.80812486503424,22.723047156951253,371.88238338519585,22.206263808307504
8,2,2,3,1,1,6,125.01671758302199,0.7485539606535647,371.88238338519585,22.206263808307504,372.0791431472546,22.175827530161612
9,2,2,3,1,1,5,0.6033613785595048,0.6038060173134051,372.0791431472546,22.175827530161612,372.37081713038566,22.127740415718538
10,2,2,3,1,1,5,0.7507326855202806,0.6284009585749253,372.3708171303856,22.127740415718545,372.59092064793464,22.420516823396657
11,2,2,3,1,2,4,0.6874937724157855,1.259494675339663,372.5909206479347,22.42051682339666,372.8565854234627,22.54965742425704
12,2,2,3,1,1,8,94.33318288965663,0.9952182763620567,372.8565854234627,22.54965742425704,372.9015802556164,22.15537802789536
13,2,2,3,1,1,5,150.0191471983614,0.20085048102883205,372.9015802556164,22.15537802789536,335.28181496653417,19.94438220759614
14,2,2,3,1,1,4,0.677818145995142,0.7424658172226121,335.2818149665342,19.944382207596142,372.37086089917057,22.03019299319882
15,2,2,3,1,1,20,38.132711286205996,0.01873836653957903,372.3708608991705,22.03019299319882,372.61551960746147,22.035078175907948
16,2,2,25,1,2,6,0.5983286470349588,1.8216761483069812,389.98009586963144,69.73864556892512,391.2032770241195,70.12366807742792
17,2,2,25,1,1,5,0.6300742657876661,0.8606335489494372,391.2032770241194,70.12366807742792,391.5409293794664,69.00601722721548
18,2,2,33,1,1,5,0.6274942827877006,0.1789442352078572,366.32210394196557,41.42806298569412,366.94370328262636,41.28167458781946
19,2,2,33,1,1,4,0.3936779799994582,0.5712837621768283,366.94370328262636,41.28167458781947,367.0111875738645,41.655809634923735
20,2,2,57,1,2,10,44.70257182084448,1.70353132423186,431.186545358374,83.660730252958,432.6414180315822,83.0624308734978
21,3,1,3,1,1,6,0.5572119829350285,0.14994910429064343,93.17057392572876,128.37431555792526,93.64300760382862,129.44853387383083
22,3,1,20,1,1,10,0.5920664681023907,0.47106699279275144,9.340008022032563,117.23886028066471,9.657480600449517,117.48419411147927
23,3,1,52,1,1,11,0.6937403021184353,0.862838112512003,61.60906636868689,150.94994469139954,61.21035664243293,151.0832642146776
24,3,2,1,1,1,4,0.7952865045103075,0.13079261281988072,255.9751365809678,166.3266372906808,266.46052647630313,173.06242041241944
25,3,2,29,1,1,11,0.7476803554202576,0.5852949598170631,185.6771063358063,194.86206815838,184.9054263782436,194.7761114699242
26,3,2,29,1,1,7,0.8150189649741278,0.675433815591342,184.9054263782436,194.77611146992422,184.90732828699726,193.86696055862012
27,3,2,29,1,2,12,0.7751296610312685,1.5787016324866632,184.90732828699726,193.86696055862012,183.9870890587926,194.68366142545725
28,3,2,42,1,1,5,109.96217254162147,0.7210716175247605,220.69143657873258,158.98793843860173,220.72183577372076,159.1290101074265
29,3,2,46,1,1,8,78.96445530762922,0.2399927948713292,232.06102646995555,168.32321000778083,239.91686727232891,174.02626788149362
30,3,3,21,1,1,7,110.9933850726583,0.1653255820147177,322.74251939703265,95.82808269580795,368.94745427891405,109.27675002039226
