"Unnamed: 0","Video #","Video Name","Cell","Track","Frame","x","y","Intensity","isGap","GapFixed","Pass1","Pass2","Pass3","Bound"
"0","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","265","40.19280757855214","15.178542452996322","84073","0","2","2","2","2","2"
"1","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","266","40.441307785004334","15.04522018434642","87843","0","2","2","2","2","2"
"2","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","267","40.23739068198039","15.2586440771358","88500","0","2","2","2","2","2"
"3","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","268","40.53152602548997","15.4172226922113","86552","0","2","2","2","2","2"
"4","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","269","40.53720982924703","15.699631974634256","88469","0","2","2","2","2","2"
"5","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","270","40.57232318969401","15.39268901001843","85656","0","2","2","2","2","2"
"6","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","271","40.58936533038285","15.754467578871576","88141","0","2","2","2","2","2"
"7","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","272","40.17029610134821","15.023038395738382","88396","0","2","2","2","2","2"
"8","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","273","40.15991386517997","15.034579762787068","87151","0","2","2","2","2","2"
"9","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","274","40.58718203173599","15.240915599504788","90938","0","2","2","2","2","2"
"10","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","275","40.6205306485993","15.031508141381511","87466","0","1","2","2","2","2"
"11","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","276","40.30863399958745","15.692727764497423","88883","0","2","2","2","2","2"
"12","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","277","40.40740502719564","15.29292967697984","87811","0","2","2","2","2","2"
"13","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","278","40.42508635597368","15.218582170742314","88643","0","2","2","2","2","2"
"14","1","1125_Stream_1_FC_JF552_100pM_70p_561nm_MCM2_M2_PCNA_CP_10ms","3","5","279","39.86893848622027","14.862440331778467","84071","0","1","2","2","2","2"
