Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
1,1,2,1,constrained_diffusion,single_stable_state,6,19,14,14,14,0,0,14,0,0,14,0,0.14
1,1,14,0,diffusion,single_stable_state,87,96,10,10,10,0,10,0,0,10,0,0,0.1
1,1,15,0,diffusion,single_stable_state,109,122,14,14,12,2,12,2,0,12,0,0,0.14
1,1,17,0,diffusion,single_stable_state,121,134,14,14,12,2,12,2,0,12,0,0,0.14
1,1,19,0,diffusion,single_stable_state,161,212,52,52,47,5,47,5,0,47,0,0,0.52
1,1,20,1,constrained_diffusion,single_stable_state,188,197,10,10,10,0,0,10,0,0,10,0,0.1
1,1,22,0,diffusion,single_stable_state,299,310,12,12,12,0,12,0,0,12,0,0,0.12
1,1,23,0,diffusion,single_stable_state,320,334,15,15,14,1,14,1,0,14,0,0,0.15
1,1,24,0,diffusion,single_stable_state,334,345,12,12,12,0,12,0,0,12,0,0,0.12
1,1,33,0,diffusion,single_stable_state,740,750,11,11,10,1,10,1,0,10,0,0,0.11
1,1,37,0,diffusion,single_stable_state,869,882,14,14,14,0,14,0,0,14,0,0,0.14
1,1,42,0,diffusion,single_stable_state,1068,1101,34,34,33,1,33,1,0,33,0,0,0.34
1,1,45,0,diffusion,single_stable_state,1172,1183,12,12,11,1,11,1,0,11,0,0,0.12
1,1,46,0,diffusion,single_stable_state,1185,1212,28,28,28,0,28,0,0,28,0,0,0.28
1,1,48,0,diffusion,single_stable_state,1194,1218,25,25,22,3,22,3,0,22,0,0,0.25
1,1,50,0,diffusion,single_stable_state,1230,1242,13,13,13,0,13,0,0,13,0,0,0.13
1,1,51,0,diffusion,single_stable_state,1232,1241,10,10,10,0,10,0,0,10,0,0,0.1
1,1,52,0,diffusion,single_stable_state,1246,1267,22,22,20,2,20,2,0,20,0,0,0.22
1,1,54,0,diffusion,single_stable_state,1251,1262,12,12,12,0,12,0,0,12,0,0,0.12
1,1,56,0,diffusion,single_stable_state,1327,1338,12,12,10,2,10,2,0,10,0,0,0.12
1,1,57,0,diffusion,single_stable_state,1343,1353,11,11,10,1,10,1,0,10,0,0,0.11
1,1,61,1,constrained_diffusion,single_stable_state,1413,1426,14,14,14,0,0,14,0,0,14,0,0.14
1,1,73,0,diffusion,single_stable_state,1977,1986,10,10,10,0,10,0,0,10,0,0,0.1
1,1,74,0,diffusion,single_stable_state,1980,1989,10,10,10,0,10,0,0,10,0,0,0.1
1,1,82,0,diffusion,single_stable_state,2126,2136,11,11,11,0,11,0,0,11,0,0,0.11
1,1,84,1,constrained_diffusion,single_stable_state,2202,2222,21,21,21,0,0,21,0,0,21,0,0.21
1,1,87,0,diffusion,single_stable_state,2489,2499,11,11,11,0,11,0,0,11,0,0,0.11
1,2,3,1,constrained_diffusion,single_stable_state,0,10,11,11,11,0,0,11,0,0,11,0,0.11
1,2,4,0,diffusion,single_stable_state,0,32,33,33,28,5,28,5,0,28,0,0,0.33
1,2,5,0,diffusion,single_stable_state,0,13,14,14,14,0,14,0,0,14,0,0,0.14
1,2,14,0,diffusion,single_stable_state,27,38,12,12,12,0,12,0,0,12,0,0,0.12
1,2,15,0,diffusion,single_stable_state,28,51,24,24,24,0,24,0,0,24,0,0,0.24
1,2,19,0,diffusion,single_stable_state,39,60,22,22,21,1,21,1,0,21,0,0,0.22
1,2,20,0,diffusion,single_stable_state,42,54,13,13,11,2,11,2,0,11,0,0,0.13
1,2,28,0,diffusion,single_stable_state,92,104,13,13,13,0,13,0,0,13,0,0,0.13
1,2,38,0,diffusion,single_stable_state,363,372,10,10,6,4,6,4,0,6,0,0,0.1
1,2,40,0,diffusion,single_stable_state,387,402,16,16,14,2,14,2,0,14,0,0,0.16
1,2,45,0,diffusion,single_stable_state,489,502,14,14,14,0,14,0,0,14,0,0,0.14
1,2,47,0,diffusion,single_stable_state,520,531,12,12,11,1,11,1,0,11,0,0,0.12
1,2,49,1,constrained_diffusion,single_stable_state,567,583,17,17,17,0,0,17,0,0,17,0,0.17
1,2,52,1,constrained_diffusion,single_stable_state,607,630,24,24,24,0,0,24,0,0,24,0,0.24
1,2,55,0,diffusion,single_stable_state,676,697,22,22,20,2,20,2,0,20,0,0,0.22
1,2,56,0,diffusion,single_stable_state,689,705,17,17,13,4,13,4,0,13,0,0,0.17
1,2,59,0,diffusion,single_stable_state,764,779,16,16,16,0,16,0,0,16,0,0,0.16
1,2,63,0,diffusion,single_stable_state,872,883,12,12,12,0,12,0,0,12,0,0,0.12
1,2,64,0,diffusion,single_stable_state,892,901,10,10,10,0,10,0,0,10,0,0,0.1
1,2,67,0,diffusion,single_stable_state,1035,1047,13,13,11,2,11,2,0,11,0,0,0.13
1,2,68,0,diffusion,single_stable_state,1047,1060,14,14,13,1,13,1,0,13,0,0,0.14
1,2,69,0,diffusion,single_stable_state,1049,1058,10,10,9,1,9,1,0,9,0,0,0.1
1,2,80,0,diffusion,single_stable_state,1359,1386,28,28,26,2,26,2,0,26,0,0,0.28
1,2,84,0,diffusion,single_stable_state,1480,1489,10,10,10,0,10,0,0,10,0,0,0.1
1,2,90,0,diffusion,single_stable_state,1725,1753,29,29,26,3,26,3,0,26,0,0,0.29
1,2,93,0,diffusion,single_stable_state,1855,1865,11,11,9,2,9,2,0,9,0,0,0.11
1,2,95,0,diffusion,single_stable_state,1865,1902,38,38,35,3,35,3,0,35,0,0,0.38
1,2,102,0,diffusion,single_stable_state,2185,2198,14,14,12,2,12,2,0,12,0,0,0.14
1,2,106,1,constrained_diffusion,single_stable_state,2455,2464,10,10,10,0,0,10,0,0,10,0,0.1
1,2,107,1,constrained_diffusion,single_stable_state,2467,2478,12,12,12,0,0,12,0,0,12,0,0.12
1,2,110,1,constrained_diffusion,single_stable_state,2481,2499,19,19,19,0,0,19,0,0,19,0,0.19
1,2,111,0,diffusion,single_stable_state,2486,2499,14,14,12,2,12,2,0,12,0,0,0.14
1,3,5,2,bound,single_stable_state,265,285,21,21,21,0,0,0,21,0,0,21,0.21
1,3,11,1,constrained_diffusion,single_stable_state,742,763,22,22,22,0,0,22,0,0,22,0,0.22
1,3,19,0,diffusion,single_stable_state,1945,1958,14,14,13,1,13,1,0,13,0,0,0.14
2,1,2,0,diffusion,single_stable_state,0,10,11,11,11,0,11,0,0,11,0,0,0.11
2,1,8,0,diffusion,single_stable_state,21,35,15,15,12,3,12,3,0,12,0,0,0.15
2,1,12,0,diffusion,single_stable_state,35,44,10,10,10,0,10,0,0,10,0,0,0.1
2,1,14,0,diffusion,single_stable_state,43,55,13,13,12,1,12,1,0,12,0,0,0.13
2,1,31,0,diffusion,single_stable_state,284,296,13,13,12,1,12,1,0,12,0,0,0.13
2,1,32,0,diffusion,single_stable_state,310,333,24,24,24,0,24,0,0,24,0,0,0.24
2,1,36,0,diffusion,single_stable_state,437,446,10,10,10,0,10,0,0,10,0,0,0.1
2,1,39,0,diffusion,single_stable_state,549,561,13,13,11,2,11,2,0,11,0,0,0.13
2,1,41,0,diffusion,single_stable_state,604,615,12,12,12,0,12,0,0,12,0,0,0.12
2,1,45,0,diffusion,single_stable_state,660,669,10,10,7,3,7,3,0,7,0,0,0.1
2,1,46,0,diffusion,single_stable_state,665,676,12,12,12,0,12,0,0,12,0,0,0.12
2,1,48,0,diffusion,single_stable_state,728,742,15,15,15,0,15,0,0,15,0,0,0.15
2,1,52,0,diffusion,single_stable_state,804,817,14,14,14,0,14,0,0,14,0,0,0.14
2,1,56,0,diffusion,single_stable_state,953,972,20,20,19,1,19,1,0,19,0,0,0.2
2,1,58,0,diffusion,single_stable_state,1004,1027,24,24,22,2,22,2,0,22,0,0,0.24
2,1,59,0,diffusion,single_stable_state,1150,1159,10,10,8,2,8,2,0,8,0,0,0.1
2,1,64,0,diffusion,single_stable_state,1204,1217,14,14,13,1,13,1,0,13,0,0,0.14
2,1,65,0,diffusion,single_stable_state,1243,1255,13,13,12,1,12,1,0,12,0,0,0.13
2,1,68,0,diffusion,single_stable_state,1270,1295,26,26,24,2,24,2,0,24,0,0,0.26
2,1,74,0,diffusion,single_stable_state,1403,1413,11,11,9,2,9,2,0,9,0,0,0.11
2,1,75,0,diffusion,single_stable_state,1407,1426,20,20,18,2,18,2,0,18,0,0,0.2
2,1,76,0,diffusion,single_stable_state,1406,1416,11,11,8,3,8,3,0,8,0,0,0.11
2,1,84,0,diffusion,single_stable_state,1531,1541,11,11,11,0,11,0,0,11,0,0,0.11
2,1,87,0,diffusion,single_stable_state,1664,1679,16,16,16,0,16,0,0,16,0,0,0.16
2,1,89,0,diffusion,single_stable_state,1723,1733,11,11,11,0,11,0,0,11,0,0,0.11
2,1,99,0,diffusion,single_stable_state,1954,1971,18,18,15,3,15,3,0,15,0,0,0.18
2,1,105,0,diffusion,single_stable_state,2023,2044,22,22,21,1,21,1,0,21,0,0,0.22
2,1,109,0,diffusion,single_stable_state,2063,2072,10,10,10,0,10,0,0,10,0,0,0.1
2,1,112,0,diffusion,single_stable_state,2093,2118,26,26,26,0,26,0,0,26,0,0,0.26
2,1,115,0,diffusion,single_stable_state,2159,2182,24,24,23,1,23,1,0,23,0,0,0.24
2,1,118,0,diffusion,single_stable_state,2296,2305,10,10,8,2,8,2,0,8,0,0,0.1
2,1,124,0,diffusion,single_stable_state,2419,2437,19,19,19,0,19,0,0,19,0,0,0.19
2,2,5,2,bound,single_stable_state,52,68,17,17,16,1,0,1,16,0,0,16,0.17
2,2,9,0,diffusion,single_stable_state,318,327,10,10,10,0,10,0,0,10,0,0,0.1
2,2,10,0,diffusion,single_stable_state,462,472,11,11,10,1,10,1,0,10,0,0,0.11
2,2,11,1,constrained_diffusion,single_stable_state,511,529,19,19,19,0,0,19,0,0,19,0,0.19
2,2,13,2,bound,single_stable_state,539,593,55,55,55,0,0,0,55,0,0,55,0.55
2,2,14,0,diffusion,single_stable_state,541,551,11,11,8,3,8,3,0,8,0,0,0.11
2,2,24,0,diffusion,single_stable_state,979,994,16,16,16,0,16,0,0,16,0,0,0.16
2,2,30,2,bound,single_stable_state,1060,1070,11,11,8,3,0,3,8,0,0,8,0.11
2,2,34,0,diffusion,single_stable_state,1226,1235,10,10,10,0,10,0,0,10,0,0,0.1
2,2,36,0,diffusion,single_stable_state,1363,1377,15,15,15,0,15,0,0,15,0,0,0.15
2,2,37,2,bound,single_stable_state,1397,1406,10,10,8,2,0,2,8,0,0,8,0.1
2,2,38,0,diffusion,single_stable_state,1518,1528,11,11,11,0,11,0,0,11,0,0,0.11
