Video #,Video Name,Cell,Track,Event,Diffusion Coefficient,Alpha,Raw_Count,Valid_Count,Bound,Initial Frame,Last Frame
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,10_1,1,2.1604478607048074,1.0,6,6,0,821,826
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,11_1,1,0.0819768935083947,1.0,6,6,1,1039,1044
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,11_2,1,,,2,2,1,1045,1046
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,11_2,2,540.7608163175398,1.0,4,4,0,1047,1050
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,11_3,1,,,3,3,0,1051,1053
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,11_3,2,,,3,3,1,1054,1056
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,11_4,1,0.3090968706401629,1.0,6,6,1,1057,1062
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,11_5,1,0.7934973237297152,1.0,6,6,1,1063,1068
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,12_1,1,376.89569858876484,1.0,6,6,0,1089,1094
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,13_1,1,128.97775085869097,1.0,6,6,0,1246,1251
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,14_1,1,4.510061306142928,1.0,6,6,0,1285,1290
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,15_1,1,314.28887375610566,1.0,6,6,0,1325,1330
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,16_1,1,,,1,1,1,1367,1367
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,16_1,2,0.019435432011237843,1.0,5,5,2,1368,1372
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,17_1,1,31.288184517291615,1.0,6,6,0,1389,1394
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_1,1,,,1,1,1,1394,1394
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_1,2,0.03172966650057078,1.0,5,5,2,1395,1399
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_2,1,,,1,1,2,1400,1400
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_2,2,0.0352170218313265,1.0,5,5,1,1401,1405
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_3,1,,,2,2,1,1406,1407
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_3,2,0.035343540834410096,1.0,4,4,2,1408,1411
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_4,1,0.021212861725079177,1.0,6,6,2,1412,1417
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_5,1,,,2,2,2,1418,1419
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_5,2,424.9199021246247,1.0,4,4,1,1420,1423
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_6,1,0.03815208607560156,1.0,6,6,2,1424,1429
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_7,1,0.007756926143804829,1.0,4,4,2,1430,1433
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_7,2,,,2,2,1,1434,1435
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_8,1,147.90131956623102,1.0,6,6,1,1436,1441
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_9,1,,,3,3,1,1442,1444
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,18_9,2,,,3,3,0,1445,1447
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,19_1,1,0.286691641273454,1.0,6,6,1,1450,1455
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,19_2,1,0.10762168116263954,1.0,6,6,1,1456,1461
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,19_3,1,,,3,3,0,1462,1464
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,19_3,2,,,1,1,1,1465,1465
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,19_3,3,,,2,2,0,1466,1467
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,1_1,1,,,3,3,0,18,20
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,1_1,2,,,3,3,1,21,23
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,1_2,1,0.5147354087698742,1.0,6,6,1,24,29
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20_1,1,0.12745246790181533,1.0,6,6,1,1472,1477
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20_2,1,0.3037521144036949,1.0,6,6,1,1478,1483
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,21_1,1,2.5098909679972916,1.0,6,6,0,1481,1486
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,22_1,1,21.341071350061537,1.0,6,6,0,1551,1556
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,23_1,1,8.614515743343762,1.0,6,6,0,1746,1751
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,24_1,1,790.1108857000809,1.0,6,6,0,2139,2144
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,25_1,1,0.09446005225556263,1.0,6,6,1,2158,2163
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,26_1,1,176.160486315073,1.0,6,6,1,2179,2184
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,27_1,1,507.45758579935693,1.0,6,6,0,2267,2272
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,28_1,1,273.6655509405319,1.0,6,6,0,2288,2293
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,29_1,1,221.32095615214723,1.0,6,6,0,2396,2401
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,29_2,1,19.778978743562984,1.0,6,6,0,2402,2407
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,2_1,1,200.67670154055614,1.0,6,6,0,13,18
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,30_1,1,256.95053215883354,1.0,6,6,0,2480,2485
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,31_1,1,320.32052317909535,1.0,6,6,0,2693,2698
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,32_1,1,6.574447193653957,1.0,6,6,0,2777,2782
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,32_2,1,,,1,1,1,2783,2783
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,32_2,2,4.869065341359461,1.0,4,4,0,2784,2787
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,32_2,3,,,1,1,1,2788,2788
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,33_1,1,,,3,3,0,2811,2813
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,33_1,2,,,3,3,1,2814,2816
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,34_1,1,232.63617179244739,1.0,6,6,0,2864,2869
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,35_1,1,9.053621904026105,1.0,6,6,0,3131,3136
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,36_1,1,217.82612989951204,1.0,6,6,0,3321,3326
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,37_1,1,15.158319727812678,1.0,6,6,0,3424,3429
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,38_1,1,170.87905370306493,1.0,6,6,0,3580,3585
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,39_1,1,3.45818987382123,1.0,6,6,0,3628,3633
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,3_1,1,912.8590983388326,1.0,6,6,0,24,29
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,40_1,1,497.62376860731945,1.0,6,6,0,3667,3672
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,41_1,1,287.0261540562308,1.0,6,6,0,3721,3726
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_1,1,433.3878095563999,1.0,6,6,0,86,91
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_10,1,0.031010486606197377,1.0,6,6,2,140,145
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_11,1,0.009110976434579483,1.0,6,6,2,146,151
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_12,1,0.01602455673034595,1.0,6,6,2,152,157
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_13,1,0.03314640591908453,1.0,6,6,2,158,163
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_14,1,0.012538568533328204,1.0,6,6,2,164,169
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_15,1,0.02431085788258947,1.0,6,6,2,170,175
1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,4_16,1,0.018124076651763004,1.0,6,6,2,176,181
