source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
single,1,1,2,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,1,3,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,1,20,True,single_like_constrained,"dominant=constrained, fraction=1.000",17,0,17,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,24,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,1,29,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,1,37,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,2,12,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,2,16,True,single_like_constrained,"dominant=constrained, fraction=1.000",10,0,10,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,2,17,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,2,18,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,2,22,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",16,16,0,0,1.0,0.0,0.0,16,0,diffusive,1.0,other,diffusive
single,1,2,24,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",16,16,0,0,1.0,0.0,0.0,16,0,diffusive,1.0,other,diffusive
single,1,2,27,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",15,15,0,0,1.0,0.0,0.0,15,0,diffusive,1.0,other,diffusive
single,1,2,28,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
