Unnamed: 0,Video #,Video Name,Cell,Track,Frame,x,y,Intensity,isGap,GapFixed,Pass1,Pass2,Pass3,Bound
0,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1472,115.6264207088237,51.50901427940023,129412,0,1,1,1,1,1
1,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1473,116.53387446958176,52.5512770050842,131865,0,1,1,1,1,1
2,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1474,114.96846311894,52.21769835998168,133178,0,1,1,1,1,1
3,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1475,116.7029470009013,52.20946994754537,130908,0,1,1,1,1,1
4,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1476,116.7112303845132,51.87399772285996,129969,0,1,1,1,1,1
5,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1477,116.0469333889902,50.49478332834658,130409,0,1,1,1,1,1
6,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1478,116.25178515809804,51.35622755857095,130308,0,1,1,1,1,1
7,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1479,119.39085723994188,52.51344886043478,130006,0,0,0,1,1,1
8,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1480,118.20288832290336,52.12053147705621,131240,0,0,0,1,1,1
9,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1481,117.0295771480218,50.42935607534793,131101,0,2,2,2,1,1
10,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1482,116.61828489015022,50.42070701103731,130422,0,1,1,1,1,1
11,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1483,116.58365376255486,50.134784250637885,130691,0,1,1,1,1,1
12,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1484,116.70102204114214,50.87862430632244,129968,0,1,1,1,1,1
13,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1485,117.2520249414294,51.105552560803126,130342,0,1,1,1,1,1
14,1,1003_Stream_1_FC_JF552_50pM_10ms_70p_561nm_HA1_NLS_woFBS_CUSTNoNo,1,20,1486,116.82599952840374,49.89722726097991,128275,0,1,1,1,1,1
