Video #,Cell,Track,Event,StartFrame,EndFrame,time,type
1,1,1,1,21,29,9,C.Diffusion
1,1,4,1,92,94,3,C.Diffusion
1,1,4,2,244,244,1,C.Diffusion
1,1,9,1,473,475,3,C.Diffusion
1,1,9,2,485,486,2,C.Diffusion
1,1,11,1,1039,1046,8,C.Diffusion
1,1,11,2,1054,1072,19,C.Diffusion
1,1,16,1,1367,1367,1,C.Diffusion
1,1,16,2,1373,1373,1,C.Diffusion
1,1,18,1,1394,1394,1,C.Diffusion
1,1,18,2,1401,1407,7,C.Diffusion
1,1,18,3,1420,1423,4,C.Diffusion
1,1,18,4,1434,1444,11,C.Diffusion
1,1,19,1,1450,1461,12,C.Diffusion
1,1,19,2,1465,1465,1,C.Diffusion
1,1,19,3,1472,1472,1,C.Diffusion
1,1,20,1,1472,1488,17,C.Diffusion
1,1,25,1,2158,2163,6,C.Diffusion
1,1,26,1,2179,2184,6,C.Diffusion
1,1,32,1,2783,2783,1,C.Diffusion
1,1,32,2,2788,2790,3,C.Diffusion
1,1,33,1,2814,2816,3,C.Diffusion
1,2,2,1,8,13,6,C.Diffusion
1,2,9,1,157,157,1,C.Diffusion
1,2,9,2,173,174,2,C.Diffusion
1,2,9,3,178,186,9,C.Diffusion
1,2,10,1,155,163,9,C.Diffusion
1,2,10,2,168,172,5,C.Diffusion
1,2,10,3,178,178,1,C.Diffusion
1,2,10,4,184,184,1,C.Diffusion
1,2,11,1,173,178,6,C.Diffusion
1,2,13,1,200,206,7,C.Diffusion
1,2,14,1,208,209,2,C.Diffusion
1,2,15,1,212,212,1,C.Diffusion
1,2,16,1,220,229,10,C.Diffusion
1,2,48,1,424,426,3,C.Diffusion
1,2,60,1,520,539,20,C.Diffusion
1,2,64,1,567,567,1,C.Diffusion
1,2,64,2,573,574,2,C.Diffusion
1,2,64,3,579,580,2,C.Diffusion
1,2,65,1,609,634,26,C.Diffusion
1,2,65,2,638,639,2,C.Diffusion
1,2,66,1,641,644,4,C.Diffusion
1,2,67,1,652,655,4,C.Diffusion
1,2,68,1,670,676,7,C.Diffusion
1,2,68,2,680,704,25,C.Diffusion
1,2,71,1,726,742,17,C.Diffusion
1,2,72,1,758,759,2,C.Diffusion
1,2,74,1,804,806,3,C.Diffusion
1,2,75,1,848,857,10,C.Diffusion
1,2,76,1,948,951,4,C.Diffusion
1,2,76,2,960,961,2,C.Diffusion
1,2,85,1,1086,1108,23,C.Diffusion
1,2,85,2,1120,1123,4,C.Diffusion
1,2,85,3,1129,1131,3,C.Diffusion
1,2,85,4,1140,1142,3,C.Diffusion
1,2,86,1,1113,1116,4,C.Diffusion
1,2,86,2,1121,1123,3,C.Diffusion
1,2,86,3,1127,1133,7,C.Diffusion
1,2,86,4,1139,1139,1,C.Diffusion
1,2,89,1,1155,1162,8,C.Diffusion
1,2,92,1,1206,1207,2,C.Diffusion
1,2,92,2,1214,1218,5,C.Diffusion
1,2,92,3,1225,1226,2,C.Diffusion
1,2,96,1,1264,1266,3,C.Diffusion
1,2,100,1,1417,1421,5,C.Diffusion
1,2,101,1,1424,1448,25,C.Diffusion
1,2,107,1,1508,1509,2,C.Diffusion
1,2,108,1,1513,1531,19,C.Diffusion
1,2,122,1,1772,1773,2,C.Diffusion
1,2,122,2,1783,1783,1,C.Diffusion
1,2,125,1,1849,1849,1,C.Diffusion
1,2,127,1,1872,1872,1,C.Diffusion
1,2,127,2,1879,1880,2,C.Diffusion
1,2,131,1,1926,1926,1,C.Diffusion
1,2,134,1,1947,1955,9,C.Diffusion
1,2,134,2,1964,1972,9,C.Diffusion
1,2,134,3,1980,1995,16,C.Diffusion
1,2,134,4,2000,2011,12,C.Diffusion
1,2,135,1,1952,1962,11,C.Diffusion
1,2,140,1,2174,2175,2,C.Diffusion
1,2,145,1,2272,2272,1,C.Diffusion
1,2,145,2,2286,2292,7,C.Diffusion
1,2,146,1,2291,2291,1,C.Diffusion
1,2,146,2,2296,2296,1,C.Diffusion
1,2,149,1,2432,2441,10,C.Diffusion
1,2,154,1,2506,2511,6,C.Diffusion
1,2,155,1,2503,2510,8,C.Diffusion
1,2,163,1,2700,2705,6,C.Diffusion
1,2,171,1,2834,2839,6,C.Diffusion
1,2,177,1,2934,2934,1,C.Diffusion
1,2,188,1,3143,3143,1,C.Diffusion
