,Video #,Cell,Track,From,To,Time,Speed,Distance,x1,y1,x2,y2
0,1,1,18,1,2,7,0.6435005085866145,1.034157168005097,113.54721707073723,54.73827510887629,112.39173926586733,53.76311949850805
1,1,1,18,1,1,4,62.810387529383235,0.435052039719028,112.39173926586732,53.76311949850804,111.61027573518636,53.0681672585788
2,1,2,85,1,2,4,0.5785248423143385,1.4006673219699104,245.97604841621822,70.96174916504232,270.52463769628787,79.15847705941664
3,1,2,134,1,2,9,0.619022435242151,1.7536058976532805,173.58653164730123,169.00333840448698,172.42214445252196,169.30265596322124
4,1,2,134,1,2,16,0.8106080225860274,4.547869631374095,172.422144452522,169.30265596322124,129.89279280761784,123.08726296290882
5,1,2,191,1,2,6,0.6165671258921729,1.2456966501838078,210.17094306300316,130.78160114141116,209.03165150818322,131.97201166307218
6,1,3,65,1,1,15,0.6386465048035735,0.35343639976024427,360.5238831542596,69.21208899006415,360.6967012381246,68.95936858318602
7,1,3,65,1,1,8,0.6086781434002264,0.31597519361057086,360.6967012381246,68.95936858318602,361.22125656129026,68.43326469493931
8,1,3,66,1,1,8,0.6836294365651042,0.2948247404495307,374.25289530803656,41.15213604375368,372.40136773250094,41.13512150860031
9,1,3,66,1,2,15,0.55286959806504,1.6965095386871019,372.401367732501,41.13512150860031,371.3195057965083,40.31650318100269
10,2,1,3,1,2,16,0.7314275166734369,1.4850187254908274,263.71888454447753,83.02441253693668,265.63802059901906,83.05380585364041
11,2,1,24,1,2,61,0.9558372585823057,12.855286365879198,188.9190925213346,47.54486348681755,188.67044866422003,61.18909871695595
12,2,1,120,1,2,5,0.6109637695402316,1.2195960557830021,254.2424006509156,83.54113090096337,254.67348924051632,83.67833492842463
13,2,1,120,1,1,12,0.6817109103136313,0.3887122872185609,254.67348924051632,83.67833492842462,254.35725075702007,83.86823538600778
14,2,1,120,1,1,6,0.6593409330878064,0.6161993207492423,254.74958491264087,83.38634278696948,254.5382548489711,83.8038982622382
15,2,2,1,1,2,4,0.5703881189066118,1.2746886078530488,216.0180005595665,187.8552661684284,214.9205430570617,187.0372251694742
16,2,2,1,1,1,11,104.53895366172851,0.5369206722677463,214.9205430570617,187.03722516947423,214.97413360290167,186.9619583439271
17,2,2,1,1,2,28,0.8153699805046786,2.1002641804457727,214.97413360290165,186.9619583439271,216.15691861799132,188.69153071853222
18,2,2,15,1,1,6,0.5357712690878603,0.11462895984149951,294.0056103101563,164.6780594461412,294.3810178084867,164.3383127946645
19,2,2,76,1,1,5,101.90701140057732,0.5509258711299068,223.8604683431103,117.42387827377198,224.35096709288067,117.79618094284955
20,2,2,76,1,1,6,0.5518088625918784,0.7210896312247682,224.3509670928807,117.79618094284955,224.5436365378707,117.65177528282344
21,2,3,3,1,1,4,0.6417042402731046,0.6078602137059801,420.93902432935505,165.16846646252048,420.33884223902163,164.82582038976187
22,2,3,17,1,2,9,0.6298093271818682,1.1270996267247173,455.9771578328749,142.57388908441467,456.1835584486329,143.60242467912343
23,3,1,68,1,1,5,0.596674828807241,0.8953151875163355,191.83924589359714,129.72617318809327,191.47776611850824,129.29612946906792
24,3,1,68,1,2,4,0.6173642897716249,1.1228059669201702,191.4777661185082,129.29612946906792,191.2394986372389,128.46085344818374
25,3,1,69,1,2,6,0.7335814615939116,2.118733833851402,156.77114280275953,175.6818385756873,158.2872561636723,175.74634552655755
26,3,2,101,1,2,9,0.5680113427336716,2.0646397598544173,343.586699707438,169.01926285504004,342.05706267137464,169.10273795416296
27,3,2,118,1,2,7,0.6551964932456944,1.4312658029522187,377.2142832280051,116.32659304508181,377.1440537058808,116.93709252849398
28,3,2,128,1,1,4,203.72281166752555,0.48896807906628387,362.5101269993187,115.41474186164558,386.5597866988392,123.1563538233903
29,5,1,46,1,1,6,0.567534009930538,0.7542585022616464,190.00791707310776,80.87391734837303,190.39897740232615,80.6223167356874
30,5,1,46,1,1,6,0.654438010983196,0.8517200142697405,190.39897740232615,80.6223167356874,190.29659788328874,79.38348477011174
31,5,2,13,1,2,10,1.3990618355957891,7.457513638470193,91.37038097215004,126.94831711226597,84.97836888688254,121.84714000577333
32,5,2,15,1,1,5,60.043813000059764,0.5252036989756186,84.27013152962834,122.76417490381057,83.97058907915748,122.42032352458276
33,5,3,231,1,2,8,0.5900924848885745,3.5558224796130906,351.2137694045165,129.0383304503834,354.7024288512945,128.75531108413898
34,5,4,18,1,1,10,0.8530602248364744,0.7359096811031687,268.6672729070343,12.865775092400659,268.57431026949865,12.606208367359924
35,6,2,21,1,2,9,0.5949505295194607,1.1133915775957937,100.50729873266158,159.86962850627557,100.49594554759601,160.23714685525232
36,6,2,56,1,1,9,0.6353439482258945,0.6577558312561709,149.10045811586443,141.0989639201337,148.96772579550498,140.72418703275602
37,6,2,56,1,1,11,0.7129089965994975,0.5870246028864731,148.51093165248585,141.04781730021116,149.13586276214588,140.07391965759467
38,6,4,25,1,1,11,0.5416931042453732,0.43172077718707125,321.4151482514022,88.81793404040364,321.345161071224,88.71864891788849
39,6,4,64,1,2,14,0.5359016724168845,1.2583026757321736,374.9601559268106,75.25607145363931,357.49768558970476,71.1954437309805
40,7,5,30,1,1,5,0.2680547006657733,0.2719024297636972,370.1981324758262,213.52893228998647,370.2886636651513,213.48444305358754
