Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
1,1,2,0,diffusion,single_stable_state,13,22,10,10,10,0,10,0,0,10,0,0,0.1
1,1,3,0,diffusion,single_stable_state,24,33,10,10,10,0,10,0,0,10,0,0,0.1
1,1,20,1,constrained_diffusion,single_stable_state,1472,1488,17,17,17,0,0,17,0,0,17,0,0.17
1,1,24,0,diffusion,single_stable_state,2139,2148,10,10,10,0,10,0,0,10,0,0,0.1
1,1,29,0,diffusion,single_stable_state,2396,2407,12,12,12,0,12,0,0,12,0,0,0.12
1,1,37,0,diffusion,single_stable_state,3424,3434,11,11,11,0,11,0,0,11,0,0,0.11
1,2,12,0,diffusion,single_stable_state,199,210,12,12,12,0,12,0,0,12,0,0,0.12
1,2,16,1,constrained_diffusion,single_stable_state,220,229,10,10,10,0,0,10,0,0,10,0,0.1
1,2,17,0,diffusion,single_stable_state,222,231,10,10,10,0,10,0,0,10,0,0,0.1
1,2,18,0,diffusion,single_stable_state,225,234,10,10,10,0,10,0,0,10,0,0,0.1
1,2,22,0,diffusion,single_stable_state,243,258,16,16,16,0,16,0,0,16,0,0,0.16
1,2,24,0,diffusion,single_stable_state,260,275,16,16,16,0,16,0,0,16,0,0,0.16
1,2,27,0,diffusion,single_stable_state,272,286,15,15,15,0,15,0,0,15,0,0,0.15
1,2,28,0,diffusion,single_stable_state,272,283,12,12,12,0,12,0,0,12,0,0,0.12
1,2,33,0,diffusion,single_stable_state,316,328,13,13,13,0,13,0,0,13,0,0,0.13
1,2,47,0,diffusion,single_stable_state,409,418,10,10,10,0,10,0,0,10,0,0,0.1
1,2,49,0,diffusion,single_stable_state,416,436,21,21,21,0,21,0,0,21,0,0,0.21
1,2,52,0,diffusion,single_stable_state,440,449,10,10,10,0,10,0,0,10,0,0,0.1
1,2,54,0,diffusion,single_stable_state,444,459,16,16,16,0,16,0,0,16,0,0,0.16
1,2,55,0,diffusion,single_stable_state,467,478,12,12,12,0,12,0,0,12,0,0,0.12
1,2,57,0,diffusion,single_stable_state,485,498,14,14,14,0,14,0,0,14,0,0,0.14
1,2,58,0,diffusion,single_stable_state,498,508,11,11,11,0,11,0,0,11,0,0,0.11
1,2,59,0,diffusion,single_stable_state,507,519,13,13,13,0,13,0,0,13,0,0,0.13
1,2,71,1,constrained_diffusion,single_stable_state,726,742,17,17,17,0,0,17,0,0,17,0,0.17
1,2,72,0,diffusion,single_stable_state,750,759,10,10,8,2,8,2,0,8,0,0,0.1
1,2,87,0,diffusion,single_stable_state,1128,1138,11,11,11,0,11,0,0,11,0,0,0.11
1,2,94,0,diffusion,single_stable_state,1234,1256,23,23,23,0,23,0,0,23,0,0,0.23
1,2,109,0,diffusion,single_stable_state,1526,1536,11,11,11,0,11,0,0,11,0,0,0.11
1,2,121,0,diffusion,single_stable_state,1763,1772,10,10,10,0,10,0,0,10,0,0,0.1
1,2,122,0,diffusion,single_stable_state,1772,1788,17,17,14,3,14,3,0,14,0,0,0.17
1,2,125,0,diffusion,single_stable_state,1842,1865,24,24,23,1,23,1,0,23,0,0,0.24
1,2,127,0,diffusion,single_stable_state,1869,1884,16,16,13,3,13,3,0,13,0,0,0.16
1,2,128,0,diffusion,single_stable_state,1893,1905,13,13,13,0,13,0,0,13,0,0,0.13
1,2,129,0,diffusion,single_stable_state,1898,1908,11,11,11,0,11,0,0,11,0,0,0.11
1,2,131,0,diffusion,single_stable_state,1919,1929,11,11,10,1,10,1,0,10,0,0,0.11
1,2,141,0,diffusion,single_stable_state,2183,2195,13,13,13,0,13,0,0,13,0,0,0.13
1,2,142,0,diffusion,single_stable_state,2191,2200,10,10,10,0,10,0,0,10,0,0,0.1
1,2,144,0,diffusion,single_stable_state,2234,2243,10,10,10,0,10,0,0,10,0,0,0.1
1,2,146,0,diffusion,single_stable_state,2279,2308,30,30,28,2,28,2,0,28,0,0,0.3
1,2,148,0,diffusion,single_stable_state,2345,2354,10,10,10,0,10,0,0,10,0,0,0.1
1,2,151,0,diffusion,single_stable_state,2465,2474,10,10,10,0,10,0,0,10,0,0,0.1
1,2,159,0,diffusion,single_stable_state,2572,2586,15,15,15,0,15,0,0,15,0,0,0.15
1,2,165,0,diffusion,single_stable_state,2724,2742,19,19,19,0,19,0,0,19,0,0,0.19
1,2,167,0,diffusion,single_stable_state,2734,2744,11,11,11,0,11,0,0,11,0,0,0.11
1,2,170,2,bound,single_stable_state,2780,2794,15,15,15,0,0,0,15,0,0,15,0.15
1,2,174,0,diffusion,single_stable_state,2880,2890,11,11,11,0,11,0,0,11,0,0,0.11
1,2,184,0,diffusion,single_stable_state,3071,3080,10,10,10,0,10,0,0,10,0,0,0.1
1,2,187,0,diffusion,single_stable_state,3106,3116,11,11,11,0,11,0,0,11,0,0,0.11
1,2,189,0,diffusion,single_stable_state,3229,3239,11,11,11,0,11,0,0,11,0,0,0.11
1,2,193,0,diffusion,single_stable_state,3297,3310,14,14,14,0,14,0,0,14,0,0,0.14
1,2,196,0,diffusion,single_stable_state,3391,3403,13,13,13,0,13,0,0,13,0,0,0.13
1,2,198,1,constrained_diffusion,single_stable_state,3441,3459,19,19,19,0,0,19,0,0,19,0,0.19
1,2,206,0,diffusion,single_stable_state,3650,3660,11,11,11,0,11,0,0,11,0,0,0.11
1,2,207,0,diffusion,single_stable_state,3661,3670,10,10,10,0,10,0,0,10,0,0,0.1
1,3,1,1,constrained_diffusion,single_stable_state,0,9,10,10,10,0,0,10,0,0,10,0,0.1
1,3,2,0,diffusion,single_stable_state,42,52,11,11,11,0,11,0,0,11,0,0,0.11
1,3,4,0,diffusion,single_stable_state,73,98,26,26,26,0,26,0,0,26,0,0,0.26
1,3,14,0,diffusion,single_stable_state,458,473,16,16,15,1,15,1,0,15,0,0,0.16
1,3,19,0,diffusion,single_stable_state,555,566,12,12,12,0,12,0,0,12,0,0,0.12
1,3,25,0,diffusion,single_stable_state,627,640,14,14,14,0,14,0,0,14,0,0,0.14
1,3,27,0,diffusion,single_stable_state,656,665,10,10,10,0,10,0,0,10,0,0,0.1
1,3,29,0,diffusion,single_stable_state,679,688,10,10,10,0,10,0,0,10,0,0,0.1
1,3,33,0,diffusion,single_stable_state,696,706,11,11,11,0,11,0,0,11,0,0,0.11
1,3,43,0,diffusion,single_stable_state,746,756,11,11,11,0,11,0,0,11,0,0,0.11
1,3,46,0,diffusion,single_stable_state,756,769,14,14,14,0,14,0,0,14,0,0,0.14
1,3,51,0,diffusion,single_stable_state,811,831,21,21,21,0,21,0,0,21,0,0,0.21
1,3,56,0,diffusion,single_stable_state,910,926,17,17,17,0,17,0,0,17,0,0,0.17
1,3,67,0,diffusion,single_stable_state,1347,1356,10,10,10,0,10,0,0,10,0,0,0.1
1,3,73,0,diffusion,single_stable_state,1830,1853,24,24,24,0,24,0,0,24,0,0,0.24
1,3,75,0,diffusion,single_stable_state,1878,1888,11,11,11,0,11,0,0,11,0,0,0.11
1,3,78,1,constrained_diffusion,single_stable_state,1953,1964,12,12,12,0,0,12,0,0,12,0,0.12
1,3,79,1,constrained_diffusion,single_stable_state,2023,2035,13,13,13,0,0,13,0,0,13,0,0.13
1,3,81,0,diffusion,single_stable_state,2101,2114,14,14,12,2,12,2,0,12,0,0,0.14
1,3,82,0,diffusion,single_stable_state,2121,2144,24,24,23,1,23,1,0,23,0,0,0.24
1,3,85,1,constrained_diffusion,single_stable_state,2150,2187,38,38,38,0,0,38,0,0,38,0,0.38
1,3,86,0,diffusion,single_stable_state,2183,2214,32,32,29,3,29,3,0,29,0,0,0.32
1,3,91,0,diffusion,single_stable_state,2424,2434,11,11,11,0,11,0,0,11,0,0,0.11
1,3,92,2,bound,single_stable_state,2541,2562,22,22,22,0,0,0,22,0,0,22,0.22
1,3,95,0,diffusion,single_stable_state,3109,3126,18,18,16,2,16,2,0,16,0,0,0.18
1,3,96,0,diffusion,single_stable_state,3120,3164,45,45,45,0,45,0,0,45,0,0,0.45
1,3,97,0,diffusion,single_stable_state,3120,3137,18,18,16,2,16,2,0,16,0,0,0.18
1,3,98,0,diffusion,single_stable_state,3127,3136,10,10,10,0,10,0,0,10,0,0,0.1
1,3,99,0,diffusion,single_stable_state,3145,3157,13,13,13,0,13,0,0,13,0,0,0.13
2,1,7,0,diffusion,single_stable_state,88,98,11,11,11,0,11,0,0,11,0,0,0.11
2,1,8,0,diffusion,single_stable_state,91,100,10,10,10,0,10,0,0,10,0,0,0.1
2,1,16,0,diffusion,single_stable_state,175,187,13,13,13,0,13,0,0,13,0,0,0.13
2,1,22,0,diffusion,single_stable_state,252,267,16,16,14,2,14,2,0,14,0,0,0.16
2,1,26,0,diffusion,single_stable_state,356,366,11,11,11,0,11,0,0,11,0,0,0.11
2,1,27,1,constrained_diffusion,single_stable_state,366,378,13,13,13,0,0,13,0,0,13,0,0.13
2,1,42,0,diffusion,single_stable_state,826,841,16,16,16,0,16,0,0,16,0,0,0.16
2,1,44,1,constrained_diffusion,single_stable_state,1050,1068,19,19,19,0,0,19,0,0,19,0,0.19
2,1,45,0,diffusion,single_stable_state,1053,1063,11,11,7,4,7,4,0,7,0,0,0.11
2,1,47,0,diffusion,single_stable_state,1074,1087,14,14,12,2,12,2,0,12,0,0,0.14
2,1,57,0,diffusion,single_stable_state,1256,1265,10,10,10,0,10,0,0,10,0,0,0.1
2,1,60,1,constrained_diffusion,single_stable_state,1320,1330,11,11,11,0,0,11,0,0,11,0,0.11
2,1,68,0,diffusion,single_stable_state,1485,1498,14,14,14,0,14,0,0,14,0,0,0.14
2,1,70,0,diffusion,single_stable_state,1501,1514,14,14,14,0,14,0,0,14,0,0,0.14
2,1,73,1,constrained_diffusion,single_stable_state,1623,1638,16,16,16,0,0,16,0,0,16,0,0.16
2,1,79,2,bound,single_stable_state,1909,1934,26,26,25,1,0,1,25,0,0,25,0.26
2,1,81,0,diffusion,single_stable_state,2005,2018,14,14,13,1,13,1,0,13,0,0,0.14
2,1,82,0,diffusion,single_stable_state,2041,2054,14,14,13,1,13,1,0,13,0,0,0.14
2,1,90,2,bound,single_stable_state,2365,2484,120,120,119,1,0,1,119,0,0,119,1.2
2,1,94,0,diffusion,single_stable_state,2550,2566,17,17,16,1,16,1,0,16,0,0,0.17
2,1,95,0,diffusion,single_stable_state,2596,2606,11,11,11,0,11,0,0,11,0,0,0.11
2,1,97,0,diffusion,single_stable_state,2686,2696,11,11,11,0,11,0,0,11,0,0,0.11
