Video #,Video Name,Cell,Track,Event,Diffusion Coefficient,Alpha,Raw_Count,Valid_Count,Bound,Initial Frame,Last Frame
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,100_1,1,8.918342190754759,1.0,4,4,0,1641,1644
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,100_1,2,,,2,2,1,1645,1646
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,100_2,1,1.0917173944514222,1.0,4,4,0,1647,1650
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,100_2,2,,,1,1,1,1651,1651
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,100_2,3,,,1,1,0,1652,1652
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,101_1,1,0.5257577317576507,1.0,4,4,1,1644,1647
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,101_1,2,,,2,2,2,1648,1649
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,101_2,1,0.02303923474797372,1.0,5,5,2,1650,1654
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,101_2,2,,,1,1,1,1655,1655
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,101_3,1,0.8641151849326586,1.0,5,5,1,1656,1660
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,101_3,2,,,1,1,2,1661,1661
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,101_4,1,0.015827332548247103,1.0,6,6,2,1662,1667
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,102_1,1,3.712922191895925,1.0,6,6,0,1657,1662
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,103_1,1,0.2072287837731628,1.0,6,6,1,1689,1694
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,104_1,1,0.022797899783314406,1.0,6,6,2,1787,1792
1,0625_Stream_1_FC_JF552_1nM_10ms_70p_561nm_NONO_clone1_ctrl,1,104_2,1,0.02154523808584656,1.0,6,6,2,1793,1798
