source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
single,1,1,2,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",47,0,0,47,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,1,4,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",49,0,1,48,0.0,0.02040816326530612,0.9795918367346939,0,2,bound,0.9795918367346939,bound_constraint,"constrained,bound"
single,1,1,7,True,single_like_constrained,"dominant=constrained, fraction=1.000",13,0,13,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,8,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",12,0,0,12,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,1,9,True,single_like_constrained,"dominant=constrained, fraction=1.000",17,0,17,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,13,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",14,0,0,14,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,1,15,True,single_like_constrained,"dominant=constrained, fraction=1.000",39,0,39,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,18,True,single_like_constrained,"dominant=constrained, fraction=1.000",11,0,11,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,20,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",80,0,1,79,0.0,0.0125,0.9875,0,2,bound,0.9875,bound_constraint,"constrained,bound"
single,1,1,26,False,reject_single_dominant_not_allowed,"dominant=bound, allowed=constrained",16,0,1,15,0.0,0.0625,0.9375,0,2,bound,0.9375,bound_constraint,"constrained,bound"
single,1,1,41,True,single_like_constrained,"dominant=constrained, fraction=1.000",11,0,11,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
