,Mask #,Mask Name,# Cells,Cell,Area,Length
0,1,0625_nD_Snap1_HO_NONO_ctrl_cp_masks.png,5,1,11221,182.33211456021672
1,1,0625_nD_Snap1_HO_NONO_ctrl_cp_masks.png,5,2,13013,193.25889371514057
2,1,0625_nD_Snap1_HO_NONO_ctrl_cp_masks.png,5,3,15041,209.02152999152983
3,1,0625_nD_Snap1_HO_NONO_ctrl_cp_masks.png,5,4,10634,166.14752480852673
4,1,0625_nD_Snap1_HO_NONO_ctrl_cp_masks.png,5,5,8497,583.0823269487765
5,2,0625_nD_Snap2_HO_NONO_ctrl_cp_masks.png,4,1,10086,165.05150711217394
6,2,0625_nD_Snap2_HO_NONO_ctrl_cp_masks.png,4,2,12895,183.22117781522965
7,2,0625_nD_Snap2_HO_NONO_ctrl_cp_masks.png,4,3,7355,137.88763541376724
8,2,0625_nD_Snap2_HO_NONO_ctrl_cp_masks.png,4,4,14373,583.0823269487765
9,3,0625_nD_Snap3_HO_NONO_ctrl_cp_masks.png,6,1,17850,212.16267343715293
10,3,0625_nD_Snap3_HO_NONO_ctrl_cp_masks.png,6,2,14384,195.2331938989884
11,3,0625_nD_Snap3_HO_NONO_ctrl_cp_masks.png,6,3,13749,189.61276328348785
12,3,0625_nD_Snap3_HO_NONO_ctrl_cp_masks.png,6,4,7259,160.15305179733542
13,3,0625_nD_Snap3_HO_NONO_ctrl_cp_masks.png,6,5,15662,195.13328778042973
14,3,0625_nD_Snap3_HO_NONO_ctrl_cp_masks.png,6,6,9469,583.0823269487765
15,4,0625_nD_Snap5_HO_NONO_ctrl_cp_masks.png,6,1,10057,164.92422502470643
16,4,0625_nD_Snap5_HO_NONO_ctrl_cp_masks.png,6,2,8925,158.09174551506476
17,4,0625_nD_Snap5_HO_NONO_ctrl_cp_masks.png,6,3,7437,150.4460036026215
18,4,0625_nD_Snap5_HO_NONO_ctrl_cp_masks.png,6,4,9999,184.54809671194118
19,4,0625_nD_Snap5_HO_NONO_ctrl_cp_masks.png,6,5,10154,164.10362579784763
20,4,0625_nD_Snap5_HO_NONO_ctrl_cp_masks.png,6,6,11041,583.0823269487765
21,5,0625_nD_Snap6_HO_NONO_ctrl_cp_masks.png,7,1,8550,138.03260484392808
22,5,0625_nD_Snap6_HO_NONO_ctrl_cp_masks.png,7,2,9643,164.07315441594946
23,5,0625_nD_Snap6_HO_NONO_ctrl_cp_masks.png,7,3,9339,160.0312469488381
24,5,0625_nD_Snap6_HO_NONO_ctrl_cp_masks.png,7,4,12700,176.91806012954132
25,5,0625_nD_Snap6_HO_NONO_ctrl_cp_masks.png,7,5,14644,188.09040379562165
26,5,0625_nD_Snap6_HO_NONO_ctrl_cp_masks.png,7,6,11937,172.35138525698017
27,5,0625_nD_Snap6_HO_NONO_ctrl_cp_masks.png,7,7,10862,583.0823269487765
