Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
1,1,2,2,bound,single_stable_state,0,46,47,47,47,0,0,0,47,0,0,47,0.47000000000000003
1,1,4,2,bound,single_stable_state,14,62,49,49,48,1,0,1,48,0,0,48,0.49
1,1,7,1,constrained_diffusion,single_stable_state,38,50,13,13,13,0,0,13,0,0,13,0,0.13
1,1,8,2,bound,single_stable_state,40,51,12,12,12,0,0,0,12,0,0,12,0.12
1,1,9,1,constrained_diffusion,single_stable_state,56,72,17,17,17,0,0,17,0,0,17,0,0.17
1,1,13,2,bound,single_stable_state,64,77,14,14,14,0,0,0,14,0,0,14,0.14
1,1,15,1,constrained_diffusion,single_stable_state,69,107,39,39,39,0,0,39,0,0,39,0,0.39
1,1,18,1,constrained_diffusion,single_stable_state,87,97,11,11,11,0,0,11,0,0,11,0,0.11
1,1,20,2,bound,single_stable_state,119,198,80,80,79,1,0,1,79,0,0,79,0.8
1,1,26,2,bound,single_stable_state,172,187,16,16,15,1,0,1,15,0,0,15,0.16
1,1,41,1,constrained_diffusion,single_stable_state,409,419,11,11,11,0,0,11,0,0,11,0,0.11
1,1,44,1,constrained_diffusion,single_stable_state,467,484,18,18,18,0,0,18,0,0,18,0,0.18
1,1,48,2,bound,single_stable_state,485,494,10,10,10,0,0,0,10,0,0,10,0.1
1,1,50,2,bound,single_stable_state,496,508,13,13,12,1,0,1,12,0,0,12,0.13
1,1,58,2,bound,single_stable_state,578,624,47,47,47,0,0,0,47,0,0,47,0.47000000000000003
1,1,64,1,constrained_diffusion,single_stable_state,691,705,15,15,15,0,0,15,0,0,15,0,0.15
1,1,65,2,bound,single_stable_state,699,724,26,26,26,0,0,0,26,0,0,26,0.26
1,1,68,2,bound,single_stable_state,799,808,10,10,8,2,0,2,8,0,0,8,0.1
1,1,75,1,constrained_diffusion,single_stable_state,999,1016,18,18,18,0,0,18,0,0,18,0,0.18
1,1,78,1,constrained_diffusion,single_stable_state,1111,1120,10,10,10,0,0,10,0,0,10,0,0.1
1,1,80,1,constrained_diffusion,single_stable_state,1129,1148,20,20,20,0,0,20,0,0,20,0,0.2
1,1,81,2,bound,single_stable_state,1214,1228,15,15,15,0,0,0,15,0,0,15,0.15
1,1,88,0,diffusion,single_stable_state,1322,1331,10,10,10,0,10,0,0,10,0,0,0.1
1,1,100,0,diffusion,single_stable_state,1641,1654,14,14,11,3,11,3,0,11,0,0,0.14
