Video #,Video Name,Cell,Track,Event,Diffusion Coefficient,Alpha,Raw_Count,Valid_Count,Bound,Initial Frame,Last Frame
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_1,1,,,1,1,1,373,373
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_1,2,0.012153275248279064,1.0,5,5,2,374,378
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_2,1,,,3,3,2,379,381
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_2,2,,,3,3,0,382,384
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_3,1,0.12344309654667886,1.0,6,6,1,385,390
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_4,1,,,3,3,1,391,393
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_4,2,,,3,3,2,394,396
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_5,1,,,2,2,2,397,398
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_5,2,0.03549454417850453,1.0,4,4,1,399,402
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_6,1,0.07234711361854813,1.0,6,6,1,403,408
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,10_7,1,0.13842475105122753,1.0,6,6,1,409,414
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,11_1,1,3676.038145889323,1.0,6,6,1,375,380
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,11_2,1,0.04068761293903491,1.0,6,6,1,381,386
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,12_1,1,4.52606425306898,1.0,6,6,0,475,480
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,13_1,1,,,2,2,1,484,485
1,0416_Stream_1_FC_JF552_100pM_10ms_70p_561nm_WT_clone1_6066_CUSTNONO,1,13_1,2,3.9783712935585074,1.0,4,4,0,486,489
