source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
single,1,1,5,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,1,11,True,single_like_constrained,"dominant=constrained, fraction=1.000",13,0,13,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,14,True,single_like_constrained,"dominant=constrained, fraction=1.000",21,0,21,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,15,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,1,16,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,8,4,0,0.6666666666666666,0.3333333333333333,0.0,8,0,diffusive,0.6666666666666666,constraint_diffusion,"diffusive,constrained"
single,1,1,18,True,single_like_bound,"dominant=bound, fraction=0.750",12,0,3,9,0.0,0.25,0.75,0,2,bound,0.75,bound_constraint,"constrained,bound"
single,1,1,21,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",15,11,4,0,0.7333333333333333,0.26666666666666666,0.0,6,0,diffusive,0.7333333333333333,constraint_diffusion,"diffusive,constrained"
single,1,1,26,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",23,18,5,0,0.782608695652174,0.21739130434782608,0.0,8,0,diffusive,0.782608695652174,constraint_diffusion,"diffusive,constrained"
single,1,1,31,True,single_like_bound,"dominant=bound, fraction=0.960",25,0,1,24,0.0,0.04,0.96,0,2,bound,0.96,bound_constraint,"constrained,bound"
single,1,1,33,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,1,38,True,single_like_constrained,"dominant=constrained, fraction=1.000",13,0,13,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,1,44,True,single_like_constrained,"dominant=constrained, fraction=1.000",17,0,17,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,2,11,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,2,13,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,2,19,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,2,20,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",15,15,0,0,1.0,0.0,0.0,15,0,diffusive,1.0,other,diffusive
single,1,2,22,True,single_like_constrained,"dominant=constrained, fraction=1.000",16,0,16,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,2,23,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,2,24,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",13,13,0,0,1.0,0.0,0.0,13,0,diffusive,1.0,other,diffusive
single,1,2,25,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",18,17,1,0,0.9444444444444444,0.05555555555555555,0.0,13,0,diffusive,0.9444444444444444,constraint_diffusion,"diffusive,constrained"
single,1,2,26,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,2,29,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,2,34,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",14,14,0,0,1.0,0.0,0.0,14,0,diffusive,1.0,other,diffusive
single,1,2,39,True,single_like_constrained,"dominant=constrained, fraction=1.000",13,0,13,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,2,41,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",17,16,1,0,0.9411764705882353,0.058823529411764705,0.0,12,0,diffusive,0.9411764705882353,constraint_diffusion,"diffusive,constrained"
single,1,2,47,True,single_like_bound,"dominant=bound, fraction=1.000",66,0,0,66,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,2,48,True,single_like_constrained,"dominant=constrained, fraction=1.000",34,0,34,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,2,50,True,single_like_bound,"dominant=bound, fraction=0.980",50,0,1,49,0.0,0.02,0.98,0,2,bound,0.98,bound_constraint,"constrained,bound"
single,1,2,52,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",14,14,0,0,1.0,0.0,0.0,14,0,diffusive,1.0,other,diffusive
single,1,2,55,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,2,60,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,11,1,0,0.9166666666666666,0.08333333333333333,0.0,6,0,diffusive,0.9166666666666666,constraint_diffusion,"diffusive,constrained"
single,1,2,62,True,single_like_constrained,"dominant=constrained, fraction=1.000",14,0,14,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,3,3,True,single_like_bound,"dominant=bound, fraction=1.000",12,0,0,12,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,3,4,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,3,7,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",13,11,2,0,0.8461538461538461,0.15384615384615385,0.0,8,0,diffusive,0.8461538461538461,constraint_diffusion,"diffusive,constrained"
single,1,3,10,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,3,16,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",14,14,0,0,1.0,0.0,0.0,14,0,diffusive,1.0,other,diffusive
single,1,3,17,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,3,18,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,3,19,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,3,20,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",13,13,0,0,1.0,0.0,0.0,13,0,diffusive,1.0,other,diffusive
single,1,3,25,True,single_like_constrained,"dominant=constrained, fraction=1.000",12,0,12,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,3,26,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",10,10,0,0,1.0,0.0,0.0,10,0,diffusive,1.0,other,diffusive
single,1,3,28,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,3,29,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
single,1,3,37,True,single_like_bound,"dominant=bound, fraction=1.000",45,0,0,45,0.0,0.0,1.0,0,2,bound,1.0,other,bound
single,1,3,40,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",12,12,0,0,1.0,0.0,0.0,12,0,diffusive,1.0,other,diffusive
single,1,4,2,True,single_like_constrained,"dominant=constrained, fraction=1.000",31,0,31,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,4,5,True,single_like_constrained,"dominant=constrained, fraction=1.000",15,0,15,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,4,9,True,single_like_constrained,"dominant=constrained, fraction=1.000",22,0,22,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,4,10,True,single_like_constrained,"dominant=constrained, fraction=1.000",12,0,12,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,4,14,True,single_like_constrained,"dominant=constrained, fraction=1.000",15,0,15,0,0.0,1.0,0.0,0,1,constrained,1.0,other,constrained
single,1,4,22,False,reject_single_dominant_not_allowed,"dominant=diffusive, allowed=constrained,bound",11,11,0,0,1.0,0.0,0.0,11,0,diffusive,1.0,other,diffusive
