,Mask #,Mask Name,# Cells,Cell,Area,Length
0,1,0416_nD_Snap1_HO_FC_WT_clone1_cp_masks.png,6,1,12832,172.67889274604468
1,1,0416_nD_Snap1_HO_FC_WT_clone1_cp_masks.png,6,2,14220,189.62331080328704
2,1,0416_nD_Snap1_HO_FC_WT_clone1_cp_masks.png,6,3,8673,150.6154042586614
3,1,0416_nD_Snap1_HO_FC_WT_clone1_cp_masks.png,6,4,11458,183.89671013914307
4,1,0416_nD_Snap1_HO_FC_WT_clone1_cp_masks.png,6,5,14687,197.40820651634522
5,1,0416_nD_Snap1_HO_FC_WT_clone1_cp_masks.png,6,6,12968,649.7260961359025
6,2,0416_nD_Snap2_HO_FC_WT_clone1_cp_masks.png,6,1,15019,195.18196638009363
7,2,0416_nD_Snap2_HO_FC_WT_clone1_cp_masks.png,6,2,9533,155.56349186104046
8,2,0416_nD_Snap2_HO_FC_WT_clone1_cp_masks.png,6,3,11865,177.40913167027227
9,2,0416_nD_Snap2_HO_FC_WT_clone1_cp_masks.png,6,4,10167,157.07959765672945
10,2,0416_nD_Snap2_HO_FC_WT_clone1_cp_masks.png,6,5,13907,189.5521036549054
11,2,0416_nD_Snap2_HO_FC_WT_clone1_cp_masks.png,6,6,11802,649.7260961359025
12,3,0416_nD_Snap3_HO_FC_WT_clone1_cp_masks.png,4,1,11636,172.67889274604468
13,3,0416_nD_Snap3_HO_FC_WT_clone1_cp_masks.png,4,2,14005,192.00260414900626
14,3,0416_nD_Snap3_HO_FC_WT_clone1_cp_masks.png,4,3,14396,194.60986614249546
15,3,0416_nD_Snap3_HO_FC_WT_clone1_cp_masks.png,4,4,12695,649.7260961359025
16,4,0416_nD_Snap4_HO_FC_WT_clone1_cp_masks.png,7,1,17447,208.21383239352758
17,4,0416_nD_Snap4_HO_FC_WT_clone1_cp_masks.png,7,2,10364,165.0242406436097
18,4,0416_nD_Snap4_HO_FC_WT_clone1_cp_masks.png,7,3,14149,184.78365728602733
19,4,0416_nD_Snap4_HO_FC_WT_clone1_cp_masks.png,7,4,13275,186.03494295427404
20,4,0416_nD_Snap4_HO_FC_WT_clone1_cp_masks.png,7,5,15753,205.0
21,4,0416_nD_Snap4_HO_FC_WT_clone1_cp_masks.png,7,6,11285,173.95401691251627
22,4,0416_nD_Snap4_HO_FC_WT_clone1_cp_masks.png,7,7,12679,649.7260961359025
23,5,0416_nD_Snap5_HO_FC_WT_clone1_cp_masks.png,5,1,12165,180.16103907338012
24,5,0416_nD_Snap5_HO_FC_WT_clone1_cp_masks.png,5,2,14792,197.3448757885545
25,5,0416_nD_Snap5_HO_FC_WT_clone1_cp_masks.png,5,3,8609,150.65523555456014
26,5,0416_nD_Snap5_HO_FC_WT_clone1_cp_masks.png,5,4,14763,196.93907687404246
27,5,0416_nD_Snap5_HO_FC_WT_clone1_cp_masks.png,5,5,11754,649.7260961359025
28,6,0416_nD_Snap6_HO_FC_WT_clone1_cp_masks.png,5,1,15071,194.67151820438448
29,6,0416_nD_Snap6_HO_FC_WT_clone1_cp_masks.png,5,2,14052,192.40841977418765
30,6,0416_nD_Snap6_HO_FC_WT_clone1_cp_masks.png,5,3,12327,187.49133313302778
31,6,0416_nD_Snap6_HO_FC_WT_clone1_cp_masks.png,5,4,10084,160.0312469488381
32,6,0416_nD_Snap6_HO_FC_WT_clone1_cp_masks.png,5,5,16248,649.7260961359025
33,7,0416_nD_Snap7_HO_FC_WT_clone1_cp_masks.png,5,1,14434,195.86985475054604
34,7,0416_nD_Snap7_HO_FC_WT_clone1_cp_masks.png,5,2,14218,186.3571839237758
35,7,0416_nD_Snap7_HO_FC_WT_clone1_cp_masks.png,5,3,12306,180.56854654119581
36,7,0416_nD_Snap7_HO_FC_WT_clone1_cp_masks.png,5,4,13698,193.60010330575756
37,7,0416_nD_Snap7_HO_FC_WT_clone1_cp_masks.png,5,5,13794,649.7260961359025
38,8,0416_nD_Snap8_HO_FC_WT_clone1_cp_masks.png,4,1,15170,196.82479518597245
39,8,0416_nD_Snap8_HO_FC_WT_clone1_cp_masks.png,4,2,14618,197.80040444852483
40,8,0416_nD_Snap8_HO_FC_WT_clone1_cp_masks.png,4,3,14919,197.57024067404484
41,8,0416_nD_Snap8_HO_FC_WT_clone1_cp_masks.png,4,4,12890,649.7260961359025
