Video #,Cell,Track,global_D,global_alpha,trapping_score_mean,trapping_score_max,frac_high_score_windows,geometry_trapping_score_mean,geometry_trapping_score_max,frac_high_geometry_windows,frac_supported_high_score_windows,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,n_diffusive_bursts_ge_min,diffusive_burst_demoted,persistent_trapping,persistent_intervals,temporal_track_score,trap_prob_mean,constrained_prob_mean,bound_prob_mean,trap_entry_rate,trap_exit_rate,state_switch_rate,mean_trap_dwell_frames,max_trap_dwell_frames,mean_trap_dwell_s,max_trap_dwell_s,classification
1,1,11,54.04490766819448,0.07977050645614629,-49390.95808441064,-49381.58708655576,0.0,-49391.36241908595,-49381.99142123106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6558632427244084,0.9963855763579077,0.9938429290073054,0.002542647350602359,0.0,0.0,0.0,13.0,13.0,0.13,0.13,mixed
1,1,14,0.006544009979817892,0.1165582958507536,-2.312591517555891,-1.4608969636948415,0.0,-2.7169261928566715,-1.865231638995622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.974482800019848,0.9972610545851505,0.9951495509119455,0.0021115036732050957,0.0,0.0,0.0,21.0,21.0,0.21,0.21,mixed
1,1,18,0.004768384545291125,0.3189506809642694,0.1887482582119571,0.25380601339015196,0.0,-0.2018190694209675,-0.14159870397277888,0.0,0.0,0.0,0.25,0.75,0.0,0.0,False,False,,0.5935531245788832,0.9967653400668574,0.21192995832123104,0.7848353817456264,0.0,0.0,0.18181818181818182,12.0,12.0,0.12,0.12,mixed
1,1,19,49.95306348049116,2.3232852329102025e-22,-54251.67250203347,1.349603818609459,0.0,-54252.06746971428,0.9441660254599328,0.0,0.0,0.0,0.3076923076923077,0.6923076923076923,0.0,0.0,False,False,,3.226135690524307,0.9989434589706923,0.3029981094312924,0.6959453495393999,0.0,0.0,0.12987012987012986,78.0,78.0,0.78,0.78,mixed
1,1,20,0.007684461292885247,0.18352189753617623,-1.0743344348442727,0.4317091902831566,0.0,-1.459910118575223,0.046075982557752436,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,False,False,,0.6351174450876363,0.9965606477510304,0.6103380653442277,0.38622258240680274,0.0,0.0,0.16666666666666666,13.0,13.0,0.13,0.13,mixed
1,1,31,0.000641931226023578,0.05682043195503916,1.8576270483954203,2.3517068124284615,0.9333333333333333,1.4528344722288844,1.9462690192789351,0.9333333333333333,0.9333333333333333,0.0,0.04,0.96,0.0,0.0,False,True,1264 - 1288,1.129471612753555,0.9994735285374126,0.027172123224442735,0.9723014053129698,0.0,0.0,0.041666666666666664,25.0,25.0,0.25,0.25,trapping_like
1,1,38,32.32218559505161,2.9956388737056624e-19,-42650.81217265635,-27489.558847799362,0.0,-42651.21650733165,-27489.963182474665,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6558632427244084,0.9963855763579077,0.9938429290073054,0.002542647350602359,0.0,0.0,0.0,13.0,13.0,0.13,0.13,mixed
1,1,44,98.74873095110948,2.4254698928226674e-14,-135718.0589939955,-123724.41947223483,0.0,-135718.4633286708,-123724.82380691014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.815224520091584,0.9969263129104405,0.9946499601841393,0.0022763527263012667,0.0,0.0,0.0,17.0,17.0,0.17,0.17,mixed
1,2,22,22.79746302062297,0.022708058959585622,-32632.14823425782,-18543.817766701388,0.0,-32632.552568933123,-18544.22210137669,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.7753968742628488,0.9968164757984248,0.9944860319765763,0.0023304438218485282,0.0,0.0,0.0,16.0,16.0,0.16,0.16,mixed
1,2,39,18.983864722556778,0.0953982220138275,-16288.00546764723,-16286.560950249317,0.0,-16288.409802322532,-16286.965284924618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,,0.6558632427244084,0.9963855763579077,0.9938429290073054,0.002542647350602359,0.0,0.0,0.0,13.0,13.0,0.13,0.13,mixed
