Video #,Cell,Track,Event,StartFrame,EndFrame,time,type
1,1,1,1,15,17,3,C.Diffusion
1,1,2,1,24,41,18,C.Diffusion
1,1,4,1,53,54,2,C.Diffusion
1,1,4,2,59,59,1,C.Diffusion
1,1,4,3,66,69,4,C.Diffusion
1,1,8,1,100,102,3,C.Diffusion
1,1,8,2,107,148,42,C.Diffusion
1,1,9,1,101,107,7,C.Diffusion
1,1,9,2,119,123,5,C.Diffusion
1,1,9,3,127,127,1,C.Diffusion
1,1,9,4,133,135,3,C.Diffusion
1,1,10,1,373,373,1,C.Diffusion
1,1,10,2,385,393,9,C.Diffusion
1,1,10,3,399,416,18,C.Diffusion
1,1,11,1,375,387,13,C.Diffusion
1,1,13,1,484,485,2,C.Diffusion
1,1,14,1,521,541,21,C.Diffusion
1,1,16,1,594,595,2,C.Diffusion
1,1,16,2,604,605,2,C.Diffusion
1,1,18,1,970,971,2,C.Diffusion
1,1,18,2,981,981,1,C.Diffusion
1,1,19,1,984,985,2,C.Diffusion
1,1,19,2,998,1003,6,C.Diffusion
1,1,19,3,1024,1028,5,C.Diffusion
1,1,19,4,1039,1041,3,C.Diffusion
1,1,19,5,1050,1055,6,C.Diffusion
1,1,19,6,1060,1061,2,C.Diffusion
1,1,20,1,988,990,3,C.Diffusion
1,1,20,2,996,1000,5,C.Diffusion
1,1,21,1,1066,1067,2,C.Diffusion
1,1,21,2,1074,1075,2,C.Diffusion
1,1,22,1,1066,1067,2,C.Diffusion
1,1,22,2,1071,1071,1,C.Diffusion
1,1,22,3,1076,1076,1,C.Diffusion
1,1,22,4,1094,1094,1,C.Diffusion
1,1,22,5,1100,1112,13,C.Diffusion
1,1,23,1,1068,1073,6,C.Diffusion
1,1,23,2,1078,1083,6,C.Diffusion
1,1,23,3,1110,1116,7,C.Diffusion
1,1,23,4,1121,1127,7,C.Diffusion
1,1,23,5,1152,1152,1,C.Diffusion
1,1,24,1,1162,1166,5,C.Diffusion
1,1,25,1,1161,1168,8,C.Diffusion
1,1,26,1,1173,1174,2,C.Diffusion
1,1,26,2,1181,1181,1,C.Diffusion
1,1,26,3,1190,1191,2,C.Diffusion
1,1,27,1,1200,1202,3,C.Diffusion
1,1,28,1,1205,1206,2,C.Diffusion
1,1,29,1,1217,1217,1,C.Diffusion
1,1,29,2,1223,1224,2,C.Diffusion
1,1,30,1,1244,1250,7,C.Diffusion
1,1,31,1,1288,1288,1,C.Diffusion
1,1,32,1,1313,1315,3,C.Diffusion
1,1,34,1,1385,1389,5,C.Diffusion
1,1,34,2,1399,1401,3,C.Diffusion
1,1,34,3,1437,1443,7,C.Diffusion
1,1,36,1,1439,1439,1,C.Diffusion
1,1,36,2,1450,1451,2,C.Diffusion
1,1,36,3,1456,1457,2,C.Diffusion
1,1,38,1,1679,1691,13,C.Diffusion
1,1,39,1,1715,1720,6,C.Diffusion
1,1,40,1,2179,2185,7,C.Diffusion
1,1,42,1,2283,2286,4,C.Diffusion
1,1,43,1,2628,2632,5,C.Diffusion
1,1,44,1,2946,2962,17,C.Diffusion
1,2,1,1,24,31,8,C.Diffusion
1,2,3,1,57,57,1,C.Diffusion
1,2,3,2,62,66,5,C.Diffusion
1,2,4,1,189,194,6,C.Diffusion
1,2,9,1,387,388,2,C.Diffusion
1,2,14,1,564,570,7,C.Diffusion
1,2,21,1,676,678,3,C.Diffusion
1,2,22,1,698,713,16,C.Diffusion
1,2,25,1,1109,1109,1,C.Diffusion
1,2,30,1,1138,1140,3,C.Diffusion
1,2,32,1,1179,1183,5,C.Diffusion
1,2,32,2,1205,1207,3,C.Diffusion
1,2,33,1,1220,1222,3,C.Diffusion
1,2,39,1,1417,1429,13,C.Diffusion
1,2,41,1,1443,1443,1,C.Diffusion
1,2,44,1,1735,1740,6,C.Diffusion
1,2,44,2,1780,1782,3,C.Diffusion
