Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
1,1,5,0,diffusion,single_stable_state,70,81,12,12,12,0,12,0,0,12,0,0,0.12
1,1,11,1,constrained_diffusion,single_stable_state,375,387,13,13,13,0,0,13,0,0,13,0,0.13
1,1,14,1,constrained_diffusion,single_stable_state,521,541,21,21,21,0,0,21,0,0,21,0,0.21
1,1,15,0,diffusion,single_stable_state,539,549,11,11,11,0,11,0,0,11,0,0,0.11
1,1,16,0,diffusion,single_stable_state,594,605,12,12,8,4,8,4,0,8,0,0,0.12
1,1,18,2,bound,single_stable_state,970,981,12,12,9,3,0,3,9,0,0,9,0.12
1,1,21,0,diffusion,single_stable_state,1061,1075,15,15,11,4,11,4,0,11,0,0,0.15
1,1,26,0,diffusion,single_stable_state,1173,1195,23,23,18,5,18,5,0,18,0,0,0.23
1,1,31,2,bound,single_stable_state,1264,1288,25,25,24,1,0,1,24,0,0,24,0.25
1,1,33,0,diffusion,single_stable_state,1349,1360,12,12,12,0,12,0,0,12,0,0,0.12
1,1,38,1,constrained_diffusion,single_stable_state,1679,1691,13,13,13,0,0,13,0,0,13,0,0.13
1,1,44,1,constrained_diffusion,single_stable_state,2946,2962,17,17,17,0,0,17,0,0,17,0,0.17
1,2,11,0,diffusion,single_stable_state,445,456,12,12,12,0,12,0,0,12,0,0,0.12
1,2,13,0,diffusion,single_stable_state,558,567,10,10,10,0,10,0,0,10,0,0,0.1
1,2,19,0,diffusion,single_stable_state,620,631,12,12,12,0,12,0,0,12,0,0,0.12
1,2,20,0,diffusion,single_stable_state,655,669,15,15,15,0,15,0,0,15,0,0,0.15
1,2,22,1,constrained_diffusion,single_stable_state,698,713,16,16,16,0,0,16,0,0,16,0,0.16
1,2,23,0,diffusion,single_stable_state,711,722,12,12,12,0,12,0,0,12,0,0,0.12
1,2,24,0,diffusion,single_stable_state,976,988,13,13,13,0,13,0,0,13,0,0,0.13
1,2,25,0,diffusion,single_stable_state,1105,1122,18,18,17,1,17,1,0,17,0,0,0.18
1,2,26,0,diffusion,single_stable_state,1121,1132,12,12,12,0,12,0,0,12,0,0,0.12
1,2,29,0,diffusion,single_stable_state,1132,1141,10,10,10,0,10,0,0,10,0,0,0.1
1,2,34,0,diffusion,single_stable_state,1229,1242,14,14,14,0,14,0,0,14,0,0,0.14
1,2,39,1,constrained_diffusion,single_stable_state,1417,1429,13,13,13,0,0,13,0,0,13,0,0.13
1,2,41,0,diffusion,single_stable_state,1439,1455,17,17,16,1,16,1,0,16,0,0,0.17
1,2,47,2,bound,single_stable_state,1757,1822,66,66,66,0,0,0,66,0,0,66,0.66
1,2,48,1,constrained_diffusion,single_stable_state,1780,1813,34,34,34,0,0,34,0,0,34,0,0.34
1,2,50,2,bound,single_stable_state,2019,2068,50,50,49,1,0,1,49,0,0,49,0.5
1,2,52,0,diffusion,single_stable_state,2092,2105,14,14,14,0,14,0,0,14,0,0,0.14
1,2,55,0,diffusion,single_stable_state,2327,2336,10,10,10,0,10,0,0,10,0,0,0.1
1,2,60,0,diffusion,single_stable_state,2701,2712,12,12,11,1,11,1,0,11,0,0,0.12
1,2,62,1,constrained_diffusion,single_stable_state,2916,2929,14,14,14,0,0,14,0,0,14,0,0.14
1,3,3,2,bound,single_stable_state,0,11,12,12,12,0,0,0,12,0,0,12,0.12
1,3,4,0,diffusion,single_stable_state,0,10,11,11,11,0,11,0,0,11,0,0,0.11
1,3,7,0,diffusion,single_stable_state,2,14,13,13,11,2,11,2,0,11,0,0,0.13
1,3,10,0,diffusion,single_stable_state,14,23,10,10,10,0,10,0,0,10,0,0,0.1
1,3,16,0,diffusion,single_stable_state,66,79,14,14,14,0,14,0,0,14,0,0,0.14
1,3,17,0,diffusion,single_stable_state,80,90,11,11,11,0,11,0,0,11,0,0,0.11
1,3,18,0,diffusion,single_stable_state,87,97,11,11,11,0,11,0,0,11,0,0,0.11
1,3,19,0,diffusion,single_stable_state,102,112,11,11,11,0,11,0,0,11,0,0,0.11
1,3,20,0,diffusion,single_stable_state,113,125,13,13,13,0,13,0,0,13,0,0,0.13
1,3,25,1,constrained_diffusion,single_stable_state,596,607,12,12,12,0,0,12,0,0,12,0,0.12
1,3,26,0,diffusion,single_stable_state,765,774,10,10,10,0,10,0,0,10,0,0,0.1
1,3,28,0,diffusion,single_stable_state,933,944,12,12,12,0,12,0,0,12,0,0,0.12
1,3,29,0,diffusion,single_stable_state,944,954,11,11,11,0,11,0,0,11,0,0,0.11
1,3,37,2,bound,single_stable_state,1734,1778,45,45,45,0,0,0,45,0,0,45,0.45
1,3,40,0,diffusion,single_stable_state,2395,2406,12,12,12,0,12,0,0,12,0,0,0.12
1,4,2,1,constrained_diffusion,single_stable_state,2,32,31,31,31,0,0,31,0,0,31,0,0.31
1,4,5,1,constrained_diffusion,single_stable_state,46,60,15,15,15,0,0,15,0,0,15,0,0.15
1,4,9,1,constrained_diffusion,single_stable_state,88,109,22,22,22,0,0,22,0,0,22,0,0.22
1,4,10,1,constrained_diffusion,single_stable_state,94,105,12,12,12,0,0,12,0,0,12,0,0.12
1,4,14,1,constrained_diffusion,single_stable_state,273,287,15,15,15,0,0,15,0,0,15,0,0.15
1,4,22,0,diffusion,single_stable_state,591,601,11,11,11,0,11,0,0,11,0,0,0.11
1,4,24,0,diffusion,single_stable_state,635,646,12,12,12,0,12,0,0,12,0,0,0.12
1,4,26,1,constrained_diffusion,single_stable_state,755,767,13,13,13,0,0,13,0,0,13,0,0.13
1,4,28,0,diffusion,single_stable_state,803,812,10,10,10,0,10,0,0,10,0,0,0.1
1,4,30,0,diffusion,single_stable_state,871,883,13,13,13,0,13,0,0,13,0,0,0.13
1,4,34,1,constrained_diffusion,single_stable_state,1137,1148,12,12,12,0,0,12,0,0,12,0,0.12
1,4,35,1,constrained_diffusion,single_stable_state,1167,1177,11,11,11,0,0,11,0,0,11,0,0.11
1,4,40,1,constrained_diffusion,single_stable_state,1469,1486,18,18,18,0,0,18,0,0,18,0,0.18
1,4,43,2,bound,single_stable_state,1560,1569,10,10,9,1,0,1,9,0,0,9,0.1
1,4,49,0,diffusion,single_stable_state,1766,1778,13,13,13,0,13,0,0,13,0,0,0.13
1,4,51,0,diffusion,single_stable_state,1812,1823,12,12,12,0,12,0,0,12,0,0,0.12
1,5,2,1,constrained_diffusion,single_stable_state,0,10,11,11,11,0,0,11,0,0,11,0,0.11
1,5,9,0,diffusion,single_stable_state,17,26,10,10,10,0,10,0,0,10,0,0,0.1
1,5,16,0,diffusion,single_stable_state,39,49,11,11,11,0,11,0,0,11,0,0,0.11
1,5,19,0,diffusion,single_stable_state,60,72,13,13,11,2,11,2,0,11,0,0,0.13
1,5,20,0,diffusion,single_stable_state,65,86,22,22,22,0,22,0,0,22,0,0,0.22
1,5,22,1,constrained_diffusion,single_stable_state,83,96,14,14,14,0,0,14,0,0,14,0,0.14
1,5,26,1,constrained_diffusion,single_stable_state,109,124,16,16,16,0,0,16,0,0,16,0,0.16
