"relative_path","file_name","size_bytes","classification_columns","n_columns"
"TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","219408","classification","32"
"TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","6290376","","38"
"TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","508","","16"
"TDP43\12D-0416-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","74517","classification","32"
"TDP43\12D-0416-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","1992530","","38"
"TDP43\12D-0416-CT\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","541","","16"
"TDP43\WT-0423-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","81142","classification","32"
"TDP43\WT-0423-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","2232828","","38"
"TDP43\WT-0423-CT\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","543","","16"
"TDP43\WT-1211-ACTD\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","66038","classification","32"
"TDP43\WT-1211-ACTD\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","1297841","","38"
"TDP43\WT-1211-ACTD\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","539","","16"
"TDP43\WT-0416-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","494601","classification","32"
"TDP43\WT-0416-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","12426102","","38"
"TDP43\WT-0416-ARS\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","545","","16"
"TDP43\WT-0423-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","275344","classification","32"
"TDP43\WT-0423-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","6748172","","38"
"TDP43\WT-0423-ARS\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","545","","16"
"TDP43\WT-0515-ARS\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","163963","classification","32"
"TDP43\WT-0515-ARS\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","4771494","","38"
"TDP43\WT-0515-ARS\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","543","","16"
"TDP43\WT-0515-CT\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","65720","classification","32"
"TDP43\WT-0515-CT\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","2343131","","38"
"TDP43\WT-0515-CT\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","542","","16"
"TDP43\12D-0423-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","45669","classification","32"
"TDP43\12D-0423-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","1181462","","38"
"TDP43\12D-0423-CT\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","543","","16"
"TDP43\12D-0416-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","337839","classification","32"
"TDP43\12D-0416-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","7048711","","38"
"TDP43\12D-0416-ARS\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","544","","16"
"TDP43\12D-0423-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","86900","classification","32"
"TDP43\12D-0423-ARS\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","1880923","","38"
"TDP43\12D-0423-ARS\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","541","","16"
"TDP43\12D-0515-ars\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","125579","classification","32"
"TDP43\12D-0515-ars\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","3377887","","38"
"TDP43\12D-0515-ars\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","540","","16"
"NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","324531","classification","32"
"NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","8609883","","38"
"NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","509","","16"
"H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","783080","classification","32"
"H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","24383932","","38"
"H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","550","","16"
"MCM2\HCT116-1125-CT\CSV\SF_10ms_condensate_may22_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","160566","classification","32"
"MCM2\HCT116-1125-CT\CSV\SF_10ms_condensate_may22_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","5653103","","38"
"MCM2\HCT116-1125-CT\CSV\SF_10ms_condensate_may22_\condensate_stats.csv","condensate_stats.csv","508","","16"
"NLS\HAP1-1003-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_summary.csv","condensate_evaluation_summary.csv","36616","classification","32"
"NLS\HAP1-1003-CT\CSV\SF_10ms_condensate_pj_\condensate_evaluation_windows.csv","condensate_evaluation_windows.csv","1123739","","38"
"NLS\HAP1-1003-CT\CSV\SF_10ms_condensate_pj_\condensate_stats.csv","condensate_stats.csv","541","","16"
