protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,bound_control_class,source_file,source_folder,video_id,cell_id,track_id,n_frames,track_length,step_size_mean,step_size_median,step_size_p95,path_length,net_displacement,Rg,intensity_mean,intensity_std,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,7,14,14,0.3831225119606843,0.31233157177124604,0.6151808379316543,4.980592655488896,0.4410368003997859,0.30674507625126035,92145.5,1154.4434389982707,0.0,0.0,1.0,0,0,14,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,10,174,174,0.35409446897078223,0.339064176853258,0.6899314557305848,61.258343131945324,0.5945166851224474,0.4946857994659855,91244.36781609195,1381.7748795250739,0.0,0.0,1.0,0,0,174,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,24,30,30,0.29515046342058926,0.3019421403059576,0.5492762062298973,8.559363439197089,0.5039020489507523,0.3287961353853637,93377.9,1891.723814317294,0.0,0.0,1.0,0,0,30,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,35,83,83,0.28998538678490987,0.2558487845946197,0.6050914368142176,23.77880171636261,0.7532513425884303,0.37223806038672275,91639.13253012048,3231.1170830183155,0.0,0.0,1.0,0,0,83,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,43,23,23,0.4075083914834524,0.39634099585324617,0.7453656358713793,8.965184612635953,0.7056773585172657,0.3839832240772889,87640.13043478261,1555.3098581764057,0.0,0.0,1.0,0,0,23,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,46,19,19,0.3223388162366143,0.29054944850322006,0.5932006247605608,5.802098692259057,0.9536980365678178,0.3103731842992489,88358.47368421052,1151.447512598384,0.0,0.0,1.0,0,0,19,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,53,8,8,0.40023140445768624,0.3495369892354442,0.6119234898554838,2.8016198312038036,0.5363901917405544,0.2943282596897836,88560.75,1675.6997472271526,0.0,0.0,1.0,0,0,8,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,57,28,28,0.3792588447750851,0.364847817312404,0.5990896714223952,10.239988808927297,0.8877978306189213,0.5301081036013999,94147.21428571429,1574.0279153518459,0.0,0.0,1.0,0,0,28,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,63,11,11,0.44023020649284217,0.4382449986374919,0.7916426161293473,4.4023020649284215,0.5859003942422653,0.5638872680818219,94290.90909090909,1173.3006822247617,0.0,0.0,1.0,0,0,11,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,65,33,33,0.3380029984385868,0.30776848007153745,0.6439343081780963,10.816095950034777,0.15970562105750782,0.3062672532013591,89625.06060606061,1869.9805637257627,0.0,0.0,1.0,0,0,33,0
