feature,h2b_mean,mcm2_mean,h2b_median,mcm2_median,difference_mcm2_minus_h2b,cohens_d_mcm2_minus_h2b,abs_effect_size,mannwhitney_p,ks_p
intensity_mean,90912.41911878178,85167.97683619492,91453.1081081081,85883.64037433156,-5744.442282586853,-1.287484622750995,1.287484622750995,8.353068142740844e-65,1.5085912586389854e-78
Rg,7.410130784984266,14.587753716990772,0.38705165081425447,0.3958172156899521,7.177622932006506,0.2934746415319904,0.2934746415319904,0.013354269963254438,0.044703499665687464
step_size_p95,21.743491677662252,44.47033119187243,0.644556076065628,0.7810028139219911,22.72683951421018,0.26741982435571116,0.26741982435571116,2.070402357231141e-19,3.100176714001497e-17
step_size_mean,4.607575212062149,9.010344519104754,0.3514982052358393,0.4315011878482664,4.402769307042605,0.24155302049355531,0.24155302049355531,4.394183247750244e-21,3.422800850973635e-19
path_length,110.98731385224963,191.98218632843816,10.769116030376939,15.585262448302892,80.99487247618853,0.21938000975016375,0.21938000975016375,0.0009631601459826666,0.0005946859988608497
net_displacement,0.6433619695540187,0.5810246968172343,0.5353802845946926,0.5176766190342945,-0.062337272736784355,-0.12424700700164544,0.12424700700164544,0.28299007402703824,0.2735215940597768
intensity_std,3749.7674921339203,4485.444806553021,1857.0832762538948,1320.426962488892,735.6773144191011,0.118226970158553,0.118226970158553,3.731184938203813e-14,2.024443914324478e-20
step_size_median,0.6614257313646578,0.42169397388145335,0.32167776878143667,0.3934191610576413,-0.2397317574832044,-0.0327412874549072,0.0327412874549072,4.318412744599595e-24,1.0415857958792511e-22
n_frames,39.96219455970493,39.01685393258427,29.0,26.0,-0.9453406271206646,-0.027091011168930042,0.027091011168930042,0.45733948651158074,0.6262819457553839
track_length,39.96219455970493,39.01685393258427,29.0,26.0,-0.9453406271206646,-0.027091011168930042,0.027091011168930042,0.45733948651158074,0.6262819457553839
max_consecutive_bound,39.96219455970493,39.01685393258427,29.0,26.0,-0.9453406271206646,-0.027091011168930042,0.027091011168930042,0.45733948651158074,0.6262819457553839
