feature,random_forest_importance,abs_effect_size,cohens_d_mcm2_minus_h2b
intensity_mean,0.40513632431721247,1.287484622750995,-1.287484622750995
intensity_std,0.11137144906348315,0.118226970158553,0.118226970158553
step_size_mean,0.09637334768152005,0.24155302049355531,0.24155302049355531
step_size_median,0.09375044843565412,0.0327412874549072,-0.0327412874549072
step_size_p95,0.07112266768312872,0.26741982435571116,0.26741982435571116
Rg,0.05585625591083083,0.2934746415319904,0.2934746415319904
path_length,0.04482373383925381,0.21938000975016375,0.21938000975016375
net_displacement,0.04253651693832795,0.12424700700164544,-0.12424700700164544
max_consecutive_bound,0.027015677345590666,0.027091011168930042,-0.027091011168930042
n_frames,0.026737341180637756,0.027091011168930042,-0.027091011168930042
track_length,0.025276237604360298,0.027091011168930042,-0.027091011168930042
