protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,video_id,cell_id,track_id,old_classification,final_control_guided_class
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,11,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,14,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,18,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,19,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,20,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,31,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,38,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,1,44,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,2,22,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,2,39,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,2,47,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,2,48,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,2,50,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,2,62,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,3,3,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,3,25,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,3,37,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,1,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,2,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,5,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,8,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,9,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,10,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,14,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,1,4,26,mixed,
