protein,dataset_name,condition,genotype,treatment,replicate,track_id,P_free_like,P_chromatin_bound_like,P_mcm_bound_like,distance_to_NLS,distance_to_H2B,distance_to_MCM2_Bound,distance_to_H2B_Bound,distance_to_MCM2_Bound_HighConfidence,control_outlier_score,trapping_score,temporal_score,trap_prob_mean,max_trap_dwell_frames,n_supported_high_score_windows,frac_diffusive,max_consecutive_diffusive,passed_not_free_gate,passed_not_h2b_gate,passed_not_mcm2_gate,passed_temporal_support_gate,passed_no_diffusive_burst_gate,passed_control_outlier_gate,passed_feature_completeness_gate,passed_target_protein_gate,failed_gate_count,first_failed_gate,all_failed_gates,near_miss_target_specific,final_control_guided_class,classification_reason
NONO,HAP1-0426-CT,CT,HAP1,CT,426,7,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9963855763579076,13.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,7,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.583523810373589,3.952440523112181,2.200414555087334,,,0.9963855763579076,13.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,9,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9969263129104404,17.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,9,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.4762394054939738,3.952440523112181,2.200414555087334,,,0.9969263129104404,17.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,15,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9979176632547734,39.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,15,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.146335634697098,3.952440523112181,2.200414555087334,,,0.9979176632547734,39.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,16,0.5927499811701487,0.4072500188298513,0.0,3.211565918077156,1.0142784558429618,2.710124681900159,1.6106391331261034,2.710124681900159,1.0142784558429618,,,0.9983884596832586,47.0,,0.0,0.0,True,True,True,False,True,False,True,True,2,temporal_support,temporal_support;control_outlier,True,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,16,0.5927499811701487,0.4072500188298513,0.0,3.211565918077156,1.0142784558429618,2.710124681900159,0.8779750724131871,2.710124681900159,1.0142784558429618,,,0.9983884596832586,47.0,,0.0,0.0,True,True,True,False,True,False,True,True,2,temporal_support,temporal_support;control_outlier,True,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,18,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6106391331261034,3.952440523112181,2.200414555087334,,,0.9959677344027754,11.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
NONO,HAP1-0426-CT,CT,HAP1,CT,426,18,0.3586551769343856,0.6413448230656151,0.0,3.5823074415792897,2.200414555087334,3.952440523112181,1.6405504618844104,3.952440523112181,2.200414555087334,,,0.9959677344027754,11.0,,0.0,0.0,True,False,True,False,True,False,True,True,3,not_h2b_like,not_h2b_like;temporal_support;control_outlier,False,chromatin_bound_like,Nearest/supervised behavior is H2B-like without target-specific outlier evidence.
