protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,folder_name,analysis_folder_count
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,WT-0416-CT,1
TDP43,12D-0416-CT,12D,0416,CT,12D-0416-CT,12D-0416-CT,1
TDP43,WT-0423-CT,WT,0423,CT,WT-0423-CT,WT-0423-CT,1
TDP43,WT-1211-ACTD,WT,1211,ACTD,WT-1211-ACTD,WT-1211-ACTD,1
TDP43,12D-0502-CT,12D,0502,CT,12D-0502-CT,12D-0502-CT,1
TDP43,WT-0416-ARS,WT,0416,ARS,WT-0416-ARS,WT-0416-ARS,1
TDP43,WT-0423-ARS,WT,0423,ARS,WT-0423-ARS,WT-0423-ARS,1
TDP43,WT-0515-ARS,WT,0515,ARS,WT-0515-ARS,WT-0515-ARS,0
TDP43,WT-0515-CT,WT,0515,CT,WT-0515-CT,WT-0515-CT,0
TDP43,12D-0423-CT,12D,0423,CT,12D-0423-CT,12D-0423-CT,1
TDP43,12D-0416-ARS,12D,0416,ARS,12D-0416-ARS,12D-0416-ARS,1
TDP43,12D-0423-ARS,12D,0423,ARS,12D-0423-ARS,12D-0423-ARS,1
TDP43,12D-0515-ars,12D,0515,ARS,12D-0515-ars,12D-0515-ars,1
